文件名,学科,研究类型,题目,链接,提交状态,同行评审状态,作者,资助者,同行评审者,发表时间
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Open Letter,ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment,https://open-research-europe.ec.europa.eu/articles/4-170,N/A,[version 2; peer review: 2 approved],Peter Damborg; Fergus Allerton; Alain Bousquet-Mélou; Chantal Britt; Petra Cagnardi; Luis Pedro Carmo; Iskra Cvetkovikj; Marcel Erhard; Annet Heuvelink; Lisbeth Rem Jessen; Gudrun Overesch; Ludovic Pelligand; Jonathan Gómez Raja; Karolina Scahill; Dorina Timofte; Ana P Vale; Kees Veldman; Els M Broens; on behalf of ENOVAT and ESGVM,European Cooperation in Science and Technology,Kirsten E. Bailey; Ilias Chantziaras,2024-09-24
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,Using halotolerant Azotobacter chroococcum W4ii from technosoils to mitigate wheat salt stress,https://open-research-europe.ec.europa.eu/articles/3-76,N/A,"[version 4; peer review: 2 approved, 1 not approved]",Sweta Binod Kumar; Agnieszka Kalwasińska; Maria Swiontek Brzezinska; Monika Wróbel,Horizon 2020 Framework Programme,Megha Kaviraj; Kailash Chand Kumawat; Hemant Dasila,2024-09-09
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,Lockbox enrichment facilitates manipulative and cognitive activities for mice,https://open-research-europe.ec.europa.eu/articles/4-108,N/A,[version 2; peer review: 2 approved],Katharina Hohlbaum; Niek Andresen; Paul Mieske; Pia Kahnau; Benjamin Lang; Kai Diederich; Rupert Palme; Lars Mundhenk; Henning Sprekeler; Olaf Hellwich; Christa Thöne-Reineke; Lars Lewejohann,Horizon Europe Framework Programme; Deutsche Forschungsgemeinschaft,Rasneer Sonia Bains; Jesse D Cushman,2024-08-28
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,Demonstration of the potential use of off-grid renewable energy in agricultural production in rural Uganda,https://open-research-europe.ec.europa.eu/articles/4-150,N/A,[version 1; peer review: 1 approved with reservations],Agnes Mirembe; Ronah Nakiirya; Monica K. Kansiime,Horizon 2020 Framework Programme,Fabien Muhirwa,2024-07-16
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Research Article,The possibility of spatial mapping of SOC content in olive groves under integrated production using easy-to-obtain ancillary data in a Mediterranean area,https://open-research-europe.ec.europa.eu/articles/2-110,N/A,"[version 2; peer review: 1 approved, 2 approved with reservations, 2 not approved]",Francisco José Blanco Velázquez; Mahmoud Shahabi; Hossein Rezaei; Félix González-Peñaloza; Farzin Shahbazi; María Anaya-Romero,Horizon 2020 Framework Programme,Sameh Kotb Abd-Elmabod; Fuat Kaya; Prava Kiran Dash; Calogero Schillaci; Odunayo David Adeniyi,2024-01-17
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Open Letter,Strategic concept paper for bioeconomy in Poland: executive summary,https://open-research-europe.ec.europa.eu/articles/3-217,N/A,"[version 1; peer review: 3 approved, 1 approved with reservations]",Jerzy Kozyra; Paweł Chmieliński; Piotr Jurga; Mariusz Maciejczak; Magdalena Borzęcka; Justyna Cieślikowska; Stelios Rozakis,Horizon Europe Framework Programme,Efstratios Loizou; Vlada Vitunskiene; Rasa Pakeltiene; Rodrigo Salvador,2023-12-14
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Data Note,"Diameter, height and species of 42 million trees in three European landscapes generated from field data and airborne laser scanning data",https://open-research-europe.ec.europa.eu/articles/3-32,N/A,[version 2; peer review: 2 approved],Raphaël Aussenac; Jean-Matthieu Monnet; Matija Klopčič; Paweł Hawryło; Jarosław Socha; Mats Mahnken; Martin Gutsch; Thomas Cordonnier; Patrick Vallet,Horizon 2020 Framework Programme; GRAINE program of ADEME (FR),Fabian Fischer; Nikolai Knapp,2023-12-05
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Method Article,Digital twins for land-based aquaculture: A case study for rainbow trout (Oncorhynchus mykiss),https://open-research-europe.ec.europa.eu/articles/2-16,N/A,[version 2; peer review: 2 approved],Adriano C. Lima; Edouard Royer; Matteo Bolzonella; Roberto Pastres,Horizon 2020 Framework Programme,David Jones; Murat Yigit,2023-11-28
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Open Letter,"Belowground carbon transfer across mycorrhizal networks among trees: Facts, not fantasy",https://open-research-europe.ec.europa.eu/articles/3-168,N/A,"[version 1; peer review: 1 approved, 2 approved with reservations]",Tamir Klein; Ido Rog; Stav Livne-Luzon; Marcel G.A. van der Heijden; Christian Körner,Horizon 2020 Framework Programme,David Perry; Jason D. Hoeksema; Marc-Andre Selosse,2023-10-03
Agricultural and veterinary sciences1.htm,Agricultural and veterinary sciences,Software Tool Article,ediblecity: an R package to model and estimate the benefits of urban agriculture,https://open-research-europe.ec.europa.eu/articles/3-112,N/A,"[version 2; peer review: 1 approved, 2 approved with reservations]",Josep Pueyo-Ros; Joaquim Comas; Lluís Corominas,"Horizon 2020 Framework Programme; Centres de Recerca de Catalunya; Departament d'Empresa i Coneixement, Generalitat de Catalunya; Ministerio para la Transición Ecológica y el Reto Demográfico",Carlos Tapia; Prajal Pradhan; Martí Rufí-Salís,2023-09-28
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Open Letter,The strategic concept for the Lithuanian bioeconomy: insights for niche bioenergy sectors,https://open-research-europe.ec.europa.eu/articles/3-101,N/A,[version 2; peer review: 3 approved],Vlada Vitunskienė; Akvilė Aleksandravičienė; Jonas Čaplikas; Agnė Dapkuvienė,Horizon Europe Framework Programme,Rolandas Urbonas; Magdalena Borzęcka; Vida Dabkienė,2023-08-15
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Open Letter,The DECIDE project: from surveillance data to decision-support for farmers and veterinarians,https://open-research-europe.ec.europa.eu/articles/3-82,N/A,"[version 1; peer review: 2 approved, 1 approved with reservations]",Gerdien van Schaik; Miel Hostens; Céline Faverjon; Dan B. Jensen; Anders R. Kristensen; Pauline Ezanno; Jenny Frössling; Fernanda Dórea; Britt-Bang Jensen; Luis Pedro Carmo; Wilma Steeneveld; Jonathan Rushton; William Gilbert; Angela Bearth; Michael Siegrist; Jasmeet Kaler; Johannes Ripperger; Jamuna Siehler; Sjaak de Wit; Beatriz Garcia-Morante; Joaquim Segalés; Bart Pardon; Jade Bokma; Mirjam Nielen,Horizon 2020 Framework Programme,Dennis Muhanguzi; Philip A. Robinson; Dirk Pfeiffer,2023-05-17
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,Agroecology research in Europe funded by European and transnational programmes: current status and perspectives,https://open-research-europe.ec.europa.eu/articles/2-139,N/A,[version 2; peer review: 2 approved],Ileana Iocola; Corrado Ciaccia; Luca Colombo; Baptiste Grard; Stefania Maurino; Alexander WEZEL; Stefano Canali,Horizon 2020 Framework Programme,Les Levidow; Manuel Gonzales de Molina,2023-03-29
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,“« Coffee agroforestry business-driven clusters »: an innovative social and environmental organisational model for coffee farm renovation,https://open-research-europe.ec.europa.eu/articles/2-61,N/A,[version 2; peer review: 2 approved],Andrew Meter; Eric Penot; Philippe Vaast; Hervé Etienne; Eric Ponçon; Benoit Bertrand,Horizon 2020 Framework Programme,Christophe Montagnon; Leonel Lara-Estrada,2023-02-21
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,Development of agroecology in Austria and Germany,https://open-research-europe.ec.europa.eu/articles/3-25,N/A,"[version 1; peer review: 2 approved, 1 approved with reservations]",Anna Brumer; Alexander WEZEL; Jens Dauber; Tor Arvid Breland; Baptiste Grard,Horizon 2020 Framework Programme,Felipe Gallardo López; Nicola Randall; Andreas Thiel,2023-02-02
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Case Study,"Generational issues in linking family farming production, traditional food in diet, physical activity and obesity in Pacific Islands countries and territories: the case of the Melanesian population on Lifou Island",https://open-research-europe.ec.europa.eu/articles/1-135,N/A,[version 2; peer review: 2 approved],Olivier Galy; Stéphane Frayon; Marco Goldin; Paul Zongo; Guillaume Wattelez; Sonny Lameta; Alan Quartermain; Jean Marie Fotsing; Séverine Bouard,Horizon 2020 Framework Programme; the Pacific Island University Research Network grant 2016-2018,Louisa Peralta; Marta Plichta,2022-10-11
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Brief Report,Development of an online pan-European Integrated Pest Management Resource Toolbox,https://open-research-europe.ec.europa.eu/articles/2-72,N/A,[version 2; peer review: 2 approved],Mark Ramsden; Margherita Furiosi; Paolo Debenedettis; Isidora Stojacic; Marta Mendes; Nicolas Munier-Jolain; Tito Caffi,Horizon 2020 Framework Programme,Emilio Gil; Ramon Salcedo; Ilias Travlos,2022-09-22
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Open Letter,The COMBAT project: controlling and progressively minimizing the burden of vector-borne animal trypanosomosis in Africa,https://open-research-europe.ec.europa.eu/articles/2-67,N/A,[version 2; peer review: 3 approved],Alain Boulangé; Veerle Lejon; David Berthier; Sophie Thévenon; Geoffrey Gimonneau; Marc Desquesnes; Samuel Abah; Prudenciène Agboho; Kalinga Chilongo; Tsegaye Gebre; Assane Gueye Fall; Dramane Kaba; Stefan Magez; Daniel Masiga; Enock Matovu; Aldjibert Moukhtar; Luis Neves; Pamela A. Olet; Soumaïla Pagabeleguem; William Shereni; Brice Sorli; Moeti O. Taioe; María Teresa Tejedor Junco; Rehab Yagi; Philippe Solano; Giuliano Cecchi,Horizon 2020 Framework Programme,Brice Rotureau; Harriet Auty; Jan Van Den Abbeele,2022-08-15
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Method Article,Predicting farmed rainbow trout weight distribution to improve feeding practice: an individual-based model approach.,https://open-research-europe.ec.europa.eu/articles/2-63,N/A,"[version 1; peer review: 1 approved with reservations, 1 not approved]",Matteo Bolzonella; Edouard Royer; Adriano C. Lima; Roberto Pastres,Horizon 2020 Framework Programme,André Dumas; Pierluigi Carbonara,2022-05-23
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,Evaluation of the potential benefits of iron supplementation in organic pig farming,https://open-research-europe.ec.europa.eu/articles/2-11,N/A,[version 2; peer review: 2 approved],Armelle Prunier; Mily Leblanc-Maridor; Maud Pauwels; Laetitia Jaillardon; Catherine Belloc; Elodie Merlot,"Horizon 2020 Framework Programme; Inrae, Oniris",Glen Almond; Martin Svoboda,2022-03-21
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,Properties of biomass powders resulting from the fine comminution of lignocellulosic feedstocks by three types of ball-mill set-up,https://open-research-europe.ec.europa.eu/articles/1-125,N/A,[version 2; peer review: 2 approved],Rova Karine Rajaonarivony; Xavier Rouau; Charlène Fabre; Claire Mayer-Laigle,Horizon 2020 Framework Programme,Peter. J. Deuss; Christine Frances,2022-03-16
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,Protocol for ethyl methanesulphonate (EMS) mutagenesis application in rice,https://open-research-europe.ec.europa.eu/articles/1-19,N/A,[version 3; peer review: 2 approved],Rasim Unan; Ilyas Deligoz; Kassim Al-Khatib; Husrev Mennan,Horizon 2020 Framework Programme,R. Kleynhans; Ashok Somalraju,2022-02-14
Agricultural and veterinary sciences2.htm,Agricultural and veterinary sciences,Research Article,Plasmids conferring resistance to extended-spectrum beta-lactamases including a rare IncN+IncR multireplicon carrying blaCTX-M-1 in Escherichia coli recovered from migrating barnacle geese (Branta leucopsis),https://open-research-europe.ec.europa.eu/articles/1-46,N/A,[version 1; peer review: 2 approved],Paula Kurittu; Banafsheh Khakipoor; Michael S.M. Brouwer; Annamari Heikinheimo,Horizon 2020 Framework Programme; Walter Ehrström Foundation,Angela H. A. M. van Hoek; Magdalena Maria Zając,2021-05-04
Engineering and technology1.htm,Engineering and technology,Method Article,Application of a practical methodology for the selection of suitable value chains to produce circular fertilisers from secondary raw materials,https://open-research-europe.ec.europa.eu/articles/5-43,N/A,[version 2; peer review: 2 approved],Lidia Paredes; Elisa Gambuzzi; Rita Gentili; Jessica Pérez-García; Ambrogio Pigoli; Inès Verleden; Pedro Villanueva-Rey; Werner Vogt-Kaute; Wim Moerman; Lucía González-Monjardin,Horizon Europe Framework Programme,Alev Kir; Ramisah Mohd Shah,2025-03-31
Engineering and technology1.htm,Engineering and technology,Method Article,Increasing transferability for automated fault detection and diagnosis in HVAC systems through a hybrid AI methodology,https://open-research-europe.ec.europa.eu/articles/5-91,N/A,[version 1; peer review: awaiting peer review],Sebastian Dietz; Nicolas Réhault; Lilli Frison; Tim Rist; Frank Scholzen,Horizon 2020 Framework Programme; Université du Luxembourg,,2025-03-31
Engineering and technology1.htm,Engineering and technology,Research Article,Navigating the shift towards sustainable digital building permits and building logbooks,https://open-research-europe.ec.europa.eu/articles/5-90,N/A,[version 1; peer review: 1 approved with reservations],Rita Lavikka; Judith Fauth; Mayte Toscano; Gonçal Costa; Thomas Beach; Pedro Meda Magalhães; Jantien Stoter; Stefanie Brigitte Deac Kaiser; Jeroen Werbrouck,Horizon Europe Framework Programme; UK Research and Innovation; H2020 Marie Skłodowska-Curie Actions,Rupesh Kumar,2025-03-31
Engineering and technology1.htm,Engineering and technology,Study Protocol,Determining the relationship between mobile phone network signal strength and radiofrequency electromagnetic field exposure: protocol and pilot study to derive conversion functions,https://open-research-europe.ec.europa.eu/articles/4-206,N/A,"[version 2; peer review: 1 approved, 1 approved with reservations]",Nekane Sandoval-Diez; Lea Belácková; Adriana Fernandes Veludo; Hamed Jalilian; Florence Guida; Isabelle Deltour; Arno Thielens; Marco Zahner; Jürg Fröhlich; Anke Huss; Martin Röösli,Horizon Europe Framework Programme,Rosa Orlacchio; Pablo Luis López Espí,2025-03-31
Engineering and technology1.htm,Engineering and technology,Case Study,Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors,https://open-research-europe.ec.europa.eu/articles/4-51,N/A,"[version 3; peer review: 2 approved, 1 approved with reservations]",Vanessa Ventosinos Louzao; Denise García Murias; Miguel Ángel De Dios Álvarez; Pablo Alberto Acuña Domínguez; Esteban Paredes Barros; Raquel Ledo Bañobre,Horizon 2020 Framework Programme,Macaulay Mfon Owen; Dylan Jubinville; Peng Gao,2025-03-31
Engineering and technology1.htm,Engineering and technology,Software Tool Article,APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations,https://open-research-europe.ec.europa.eu/articles/5-88,N/A,"[version 1; peer review: 1 approved, 1 approved with reservations]",Konstantinos Koasidis; Anastasios Soursos; Georgios Xexakis; Álvaro Labella; Anastasios Karamaneas; Alexandros Nikas,Horizon 2020 Framework Programme; Horizon Europe Framework Programme; LIFE programme,George Tsihrintzis; Phoebe Koundouri,2025-03-31
Engineering and technology1.htm,Engineering and technology,Research Article,Advanced photodetector for hybrid PET-MRI systems,https://open-research-europe.ec.europa.eu/articles/4-247,N/A,[version 2; peer review: 3 approved],K Isayev; O Rasulov; N Sadigova,Horizon Europe Framework Programme,Andrea Gonzalez-Montoro; Christos M. Michail; Gadir Ahmadov,2025-03-31
Engineering and technology1.htm,Engineering and technology,Research Article,Development and comparative analysis of machine learning algorithms for predictive atmospheric corrosion modeling,https://open-research-europe.ec.europa.eu/articles/5-84,N/A,[version 1; peer review: 2 approved with reservations],Jose Manuel Perales Fernández; María López Abelairas; Arturo Sánchez-Ramos; Lila Otero-Gonzalez,Horizon 2020 Framework Programme,Atwakyire Moses; Leonardo Bertolucci Coelho,2025-03-27
Engineering and technology1.htm,Engineering and technology,Research Article,Exploring the sustainable energy Potential of Positive Energy Districts (PED) via Geographic Information System (GIS),https://open-research-europe.ec.europa.eu/articles/5-81,N/A,[version 1; peer review: 2 approved with reservations],Hande Demirel; Ayşenur Koçyiğit; B. Alpagut; Damla Muhcu,"Horizon 2020 Framework Programme; European Union, JPI Urban Europe PED programme; Türkiye Bilimsel ve Teknolojik Araştırma Kurumu",Gokhan Sahin; Rovick Tarife,2025-03-26
Engineering and technology1.htm,Engineering and technology,Method Article,"Improving Fleet Size Estimation for Factory Logistics Under Demand, Speed, and Efficiency Uncertainty",https://open-research-europe.ec.europa.eu/articles/5-79,N/A,[version 1; peer review: awaiting peer review],Dionysis Balser-Altanis; Giorgos Altanis,Horizon 2020 Framework Programme,,2025-03-25
Engineering and technology1.htm,Engineering and technology,Review,"Balancing Security and Privacy: Web Bot Detection, Privacy Challenges, and Regulatory Compliance under the GDPR and AI Act",https://open-research-europe.ec.europa.eu/articles/5-76,N/A,[version 1; peer review: 2 approved],Javier Martínez Llamas; Koen Vranckaert; Davy Preuveneers; Wouter Joosen,Horizon Europe Framework Programme; Research Fund KU Leuven; Flemish Research Programme Cybersecurity,John Giordani; Renato Zeko; Glorin Sebastian,2025-03-24
Engineering and technology1.htm,Engineering and technology,Open Letter,Mechanochemistry in Europe: where we come from and where we are now,https://open-research-europe.ec.europa.eu/articles/5-73,N/A,[version 1; peer review: 1 approved],Juan José Sáenz de la Torre; Leyre Flamarique; Fernando Gomollon-Bel; Evelina COLACINO,Horizon Europe Framework Programme,José Berrocal,2025-03-20
Engineering and technology1.htm,Engineering and technology,Research Article,Characterization of silicon photomultipliers with different structures,https://open-research-europe.ec.europa.eu/articles/5-72,N/A,[version 1; peer review: 1 approved with reservations],Sabuhi Nuruyev; Aleksandr Nartov; Ramil Akbarov; Gadir Ahmadov; Daniyar Berikov; Farid Ahmadov; Jalal Naghiyev; Azer Sadygov; Rauf Sardarli; Michael Holik,Horizon Europe Framework Programme,Lucas Finazzi,2025-03-19
Engineering and technology1.htm,Engineering and technology,Review,Advancing bridge resilience: a review of monitoring technologies for flood-prone infrastructure,https://open-research-europe.ec.europa.eu/articles/5-26,N/A,[version 2; peer review: 2 approved],Karina Buka-Vaivade; Vanni Nicoletti; Fabrizio Gara,HORIZON EUROPE Marie Sklodowska-Curie Actions,Riyadh Alsultani; Maryam Nasim,2025-03-17
Engineering and technology10.htm,Engineering and technology,Research Article,"Mobilefuge: A low-cost, portable, open source, 3D-printed centrifuge that can be powered by a mobile phone",https://open-research-europe.ec.europa.eu/articles/2-112,N/A,"[version 1; peer review: 1 approved, 1 approved with reservations]",Mohini Bhupathi; Ganga Chinna Rao Devarapu,Horizon 2020 Framework Programme,Aashish Priye; Kuangwen Hsieh,2022-09-22
Engineering and technology10.htm,Engineering and technology,Research Article,Implementation of a software defined FLISR solution on an active distribution grid,https://open-research-europe.ec.europa.eu/articles/1-142,N/A,[version 2; peer review: 2 approved],Darren Leniston; David Ryan; Clem Power; Paul Hayes; Steven Davy,Horizon 2020 Framework Programme,Liu Xinyu; Peter Watson,2022-09-20
Engineering and technology10.htm,Engineering and technology,Review,The state of the art in beyond 5G distributed massive multiple-input multiple-output communication system solutions,https://open-research-europe.ec.europa.eu/articles/2-106,N/A,"[version 1; peer review: 1 approved, 2 approved with reservations]",E. Meyer; D. Kruglov; M. Krivic; M. Tanveer; R. Argaez-Ramirez; Y. Zhang; A. Briseno Ojeda; K. Smirnova; K. Alekseev; M. Safari Mugisho; B. Cimbili; N. Farid; Y. Dang; M. Shahid; M. Ensan; J. Banar; H. Bao; M. Matters-Kammerer; U. Gustavsson; F. Demuynck; T. Zwick; M. Acar; C. Fager; M. van der Heijden; M. Ivashina; D. Caratelli; M. Hasselblad; C. Ulusoy; A.B. Smolders; K. Eriksson; M. Johannson; R. Maaskant; R. Quay; D. Floriot; M. Bao; L.A. Bronckers; J. Fridén; M.C. van Beurden; B.P. de Hon; C. Kolitsidas; D. Blanco; F.M.J. Willems; T. Eriksson; A. Filippi; F. Ponzini; U. Johannsen,Horizon 2020,Jagadeesh Babu kamili; Daniyal Ali Sehrai; Rashmi Sinha; Santosh Kumar Mahto,2022-09-02
Engineering and technology10.htm,Engineering and technology,Research Article,Use of organic fertilizers in solar photo-Fenton process as potential technology to remove pineapple processing wastewater in Costa Rica,https://open-research-europe.ec.europa.eu/articles/2-105,N/A,"[version 1; peer review: 2 approved, 1 approved with reservations]",Dayatri Vanessa Bolaños Picado; Mario Masis Mora; Esteban Duran Herrera; Luís Fernando Pérez Mercado; Núria López Vinent; Alberto Cruz Alcalde; María Mercedes Alvarez Caero; Carlos Esteban Rodríguez Rodríguez; Carmen Sans Mazón,Horizon 2020 Framework Programme,Irene Salmeron Garcia; Antonino Fiorentino; Marwa El-Azazy,2022-09-01
Engineering and technology10.htm,Engineering and technology,Research Article,Evolving requirements for materials modelling software and underlying method developments: an inventory and future outlook,https://open-research-europe.ec.europa.eu/articles/2-86,N/A,[version 2; peer review: 2 approved],Ilian Todorov,Horizon 2020 Framework Programme; Science and Technology Facilities Council,Costas A. Charitidis; Erich Wimmer,2022-08-01
Engineering and technology10.htm,Engineering and technology,Method Article,Methods based on a semi-empirical model for simulating scroll compressors with HFC and HFO refrigerants,https://open-research-europe.ec.europa.eu/articles/1-148,N/A,[version 3; peer review: 3 approved],George Meramveliotakis; George Kosmadakis; Sotirios Karellas,Horizon 2020 Framework Programme,Willian Moreira Duarte; Stefano Barberis; Adrián Mota-Babiloni,2022-07-07
Engineering and technology10.htm,Engineering and technology,Data Note,Financing conditions of renewable energy projects – results from an EU wide survey,https://open-research-europe.ec.europa.eu/articles/1-136,N/A,[version 2; peer review: 2 approved],Agustin Roth; Mak Đukan; Vasilios Anatolitis; Moïra Jimeno; Jörn Banasiak; Robert Brückmann; Lena Kitzing,Horizon 2020 Framework Programme,Fang Zhang; Farid Karimi,2022-06-20
Engineering and technology10.htm,Engineering and technology,Research Article,Numerical study of two heat exchangers for the cooling of a battery pack for an electric vehicle,https://open-research-europe.ec.europa.eu/articles/2-81,N/A,"[version 1; peer review: 2 approved with reservations, 1 not approved]",Christophe Morel; Franck Pra; Qyunh Trang Pham; Sébastien Fiette; Manex Larranaga; Gorka Vertiz; Mikel Arrinda,Horizon 2020 Framework Programme,Virendra Talele; Ghassan Fadhil Smaisim; Ao Li,2022-06-20
Engineering and technology10.htm,Engineering and technology,Research Article,"­­­Mechanical behavior of textile reinforced alkali-activated mortar based on fly ash, metakaolin and ladle furnace slag",https://open-research-europe.ec.europa.eu/articles/2-79,N/A,[version 1; peer review: 2 approved],Andres Arce; Lazar Azdejkovic; Luiz Miranda de Lima; Catherine G. Papanicolaou; Thanasis C. Triantafillou,Horizon 2020 Framework Programme,Theofanis Krevaikas; Konstantinos Komnitsas,2022-06-17
