题目,链接,发表时间,资助者个数,资助者名称,文章ID,标准化资助者名称,是否_H2020,是否_HEurope,是否_双重资助,是否_均无资助
Advanced photodetector for hybrid PET-MRI systems,https://open-research-europe.ec.europa.eu/articles/4-247,2025-03-31,1,Horizon Europe Framework Programme,4-247,horizon europe framework programme,False,True,False,False
Recovery and potential use for non-polyolefin materials after physical recycling of complex multilayers,https://open-research-europe.ec.europa.eu/articles/4-255,2024-11-27,1,Horizon 2020 Framework Programme,4-255,horizon 2020 framework programme,True,False,False,False
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review,https://open-research-europe.ec.europa.eu/articles/4-254,2024-11-27,3,Horizon 2020 Framework Programme,4-254,horizon 2020 framework programme,True,False,False,False
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review,https://open-research-europe.ec.europa.eu/articles/4-254,2024-11-27,3,“ICTA-UAB María de Maeztu'' Programme for Units of Excellence of the Spanish Ministry of Science and Innovation,4-254,“icta-uab maría de maeztu'' programme for units of excellence of the spanish ministry of science and innovation,True,False,False,False
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review,https://open-research-europe.ec.europa.eu/articles/4-254,2024-11-27,3,EarlyFoods - Agència de Gestió d'Ajuts Universitaris i de Recerca de Catalunya,4-254,earlyfoods - agència de gestió d'ajuts universitaris i de recerca de catalunya,True,False,False,False
Prospects of digital scientific publishing on blockchain: The concept of DAP,https://open-research-europe.ec.europa.eu/articles/3-117,2024-11-27,1,Horizon 2020 Framework Programme,3-117,horizon 2020 framework programme,True,False,False,False
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset,https://open-research-europe.ec.europa.eu/articles/4-161,2024-11-27,1,Horizon Europe Framework Programme,4-161,horizon europe framework programme,False,True,False,False
Numerical model of aluminothermic reduction vessel preheating and charge heating with graphite heating rods,https://open-research-europe.ec.europa.eu/articles/4-253,2024-11-22,1,Horizon 2020 Framework Programme,4-253,horizon 2020 framework programme,True,False,False,False
Instrumentalized migration: avoiding the trap,https://open-research-europe.ec.europa.eu/articles/4-251,2024-11-22,1,Horizon 2020 Framework Programme,4-251,horizon 2020 framework programme,True,False,False,False
Initial development and validation of item banks to measure problematic hypersexuality,https://open-research-europe.ec.europa.eu/articles/3-129,2024-11-22,1,European Cooperation in Science and Technology,3-129,european cooperation in science and technology,False,False,False,True
Exploring high growth emerging market SMEs’ engagement with digitalization:  Analysis of the literature from Malaysia and Poland,https://open-research-europe.ec.europa.eu/articles/4-250,2024-11-20,1,Horizon Europe Framework Programme,4-250,horizon europe framework programme,False,True,False,False
Parametrizing analog multi-compartment neurons with genetic algorithms,https://open-research-europe.ec.europa.eu/articles/3-144,2024-11-14,4,Horizon 2020 Framework Programme,3-144,horizon 2020 framework programme,True,False,False,False
Parametrizing analog multi-compartment neurons with genetic algorithms,https://open-research-europe.ec.europa.eu/articles/3-144,2024-11-14,4,Deutsche Forschungsgemeinschaft,3-144,deutsche forschungsgemeinschaft,True,False,False,False
Parametrizing analog multi-compartment neurons with genetic algorithms,https://open-research-europe.ec.europa.eu/articles/3-144,2024-11-14,4,Manfred Stärk Foundation,3-144,manfred stärk foundation,True,False,False,False
Parametrizing analog multi-compartment neurons with genetic algorithms,https://open-research-europe.ec.europa.eu/articles/3-144,2024-11-14,4,FP7 Information and Communication Technologies,3-144,fp7 information and communication technologies,True,False,False,False
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology,https://open-research-europe.ec.europa.eu/articles/4-141,2024-11-14,1,Horizon 2020 Framework Programme,4-141,horizon 2020 framework programme,True,False,False,False
Co-designing ab initio electronic structure methods on a RISC-V vector architecture,https://open-research-europe.ec.europa.eu/articles/4-165,2024-11-14,4,Horizon 2020 Framework Programme,4-165,horizon 2020 framework programme,True,True,True,False
Co-designing ab initio electronic structure methods on a RISC-V vector architecture,https://open-research-europe.ec.europa.eu/articles/4-165,2024-11-14,4,Horizon Europe Framework Programme,4-165,horizon europe framework programme,True,True,True,False
Co-designing ab initio electronic structure methods on a RISC-V vector architecture,https://open-research-europe.ec.europa.eu/articles/4-165,2024-11-14,4,Agencia Estatal de Investigación,4-165,agencia estatal de investigación,True,True,True,False
Co-designing ab initio electronic structure methods on a RISC-V vector architecture,https://open-research-europe.ec.europa.eu/articles/4-165,2024-11-14,4,European High Performance Computing Joint Undertaking,4-165,european high performance computing joint undertaking,True,True,True,False
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives,https://open-research-europe.ec.europa.eu/articles/4-164,2024-11-12,2,Horizon 2020 Framework Programme,4-164,horizon 2020 framework programme,True,False,False,False
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives,https://open-research-europe.ec.europa.eu/articles/4-164,2024-11-12,2,Junta de Andalucía,4-164,junta de andalucía,True,False,False,False
Development of flip-chip technology for the optical drive of superconducting circuits,https://open-research-europe.ec.europa.eu/articles/4-97,2024-11-11,2,European Metrology Programme for Innovation and Research,4-97,european metrology programme for innovation and research,False,False,False,True
Development of flip-chip technology for the optical drive of superconducting circuits,https://open-research-europe.ec.europa.eu/articles/4-97,2024-11-11,2,German Federal Ministry of Education and Research,4-97,german federal ministry of education and research,False,False,False,True
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.,https://open-research-europe.ec.europa.eu/articles/4-125,2024-11-08,1,European Cooperation in Science and Technology,4-125,european cooperation in science and technology,False,False,False,True
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner,https://open-research-europe.ec.europa.eu/articles/4-248,2024-11-08,1,Horizon 2020 Framework Programme,4-248,horizon 2020 framework programme,True,False,False,False
Data analytics for research on complex brain disorders,https://open-research-europe.ec.europa.eu/articles/4-246,2024-11-08,1,Horizon 2020 Framework Programme,4-246,horizon 2020 framework programme,True,False,False,False
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters,https://open-research-europe.ec.europa.eu/articles/4-244,2024-11-07,4,Horizon 2020 Framework Programme,4-244,horizon 2020 framework programme,True,True,True,False
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters,https://open-research-europe.ec.europa.eu/articles/4-244,2024-11-07,4,Horizon Europe Framework Programme,4-244,horizon europe framework programme,True,True,True,False
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters,https://open-research-europe.ec.europa.eu/articles/4-244,2024-11-07,4,"The Innovation Foundation research project ‘SENTEM’ at Envidan and Aarhus University, Denmark",4-244,"the innovation foundation research project ‘sentem’ at envidan and aarhus university, denmark",True,True,True,False
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters,https://open-research-europe.ec.europa.eu/articles/4-244,2024-11-07,4,"AnaEE, Denmark",4-244,"anaee, denmark",True,True,True,False
"Towards ‘retroliberalism’ or food security?: Donor development aid to the agricultural sectors of four Melanesian states, 2008-2021",https://open-research-europe.ec.europa.eu/articles/4-243,2024-11-07,1,Horizon 2020 Framework Programme,4-243,horizon 2020 framework programme,True,False,False,False
Challenges to ethical public engagement in research funding: a perspective from practice,https://open-research-europe.ec.europa.eu/articles/4-179,2024-11-06,1,Horizon 2020 Framework Programme,4-179,horizon 2020 framework programme,True,False,False,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Horizon 2020 Framework Programme,4-242,horizon 2020 framework programme,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Horizon Europe Framework Programme,4-242,horizon europe framework programme,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Universiteit Antwerpen,4-242,universiteit antwerpen,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,"FOD Volksgezondheid, Veiligheid van de Voedselketen en Leefmilieu",4-242,"fod volksgezondheid, veiligheid van de voedselketen en leefmilieu",True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Danish Environmental Protection Agency,4-242,danish environmental protection agency,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Italian National Institute of Health,4-242,italian national institute of health,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,UK Research and Innovation,4-242,uk research and innovation,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Luxembourg Institute of Science and Technology,4-242,luxembourg institute of science and technology,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,"Dutch Ministry of Health, Welfare and Sport",4-242,"dutch ministry of health, welfare and sport",True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,Dutch Ministry of Infrastructure and Water Management,4-242,dutch ministry of infrastructure and water management,True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,"Dutch Ministry of Agriculture, Fisheries, Food Security and Nature",4-242,"dutch ministry of agriculture, fisheries, food security and nature",True,True,True,False
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment,https://open-research-europe.ec.europa.eu/articles/4-242,2024-11-06,12,"Czech Ministry of Education, Youth and Sports",4-242,"czech ministry of education, youth and sports",True,True,True,False
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use,https://open-research-europe.ec.europa.eu/articles/4-207,2024-11-04,1,European Cooperation in Science and Technology,4-207,european cooperation in science and technology,False,False,False,True
A literature review of “lawful” text and data mining.,https://open-research-europe.ec.europa.eu/articles/4-153,2024-10-30,1,Horizon 2020 Framework Programme,4-153,horizon 2020 framework programme,True,False,False,False
Protocol for Surveying Participants and Professionals’ Experiences in an International Kidney Transplant Clinical Trial,https://open-research-europe.ec.europa.eu/articles/4-241,2024-10-30,1,Horizon 2020 Framework Programme,4-241,horizon 2020 framework programme,True,False,False,False
Methodological Approach for the Development of Standard C-UAS Scenarios,https://open-research-europe.ec.europa.eu/articles/4-240,2024-10-30,1,Internal Security Fund - Police,4-240,internal security fund - police,False,False,False,True
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale,https://open-research-europe.ec.europa.eu/articles/3-34,2024-10-29,1,Horizon 2020 Framework Programme,3-34,horizon 2020 framework programme,True,False,False,False
From operational design domain to test cases: A methodology to include harsh weather,https://open-research-europe.ec.europa.eu/articles/4-238,2024-10-29,2,Horizon Europe Framework Programme,4-238,horizon europe framework programme,False,True,False,False
From operational design domain to test cases: A methodology to include harsh weather,https://open-research-europe.ec.europa.eu/articles/4-238,2024-10-29,2,Innovate UK,4-238,innovate uk,False,True,False,False
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives,https://open-research-europe.ec.europa.eu/articles/4-139,2024-10-28,1,Horizon 2020 Framework Programme,4-139,horizon 2020 framework programme,True,False,False,False
Ethical Impact Assessment of Sharing Nanosafety Data,https://open-research-europe.ec.europa.eu/articles/4-237,2024-10-25,1,Horizon 2020 Framework Programme,4-237,horizon 2020 framework programme,True,False,False,False
Risk assessment for Na-Zn liquid metal batteries,https://open-research-europe.ec.europa.eu/articles/4-236,2024-10-25,1,Horizon 2020 Framework Programme,4-236,horizon 2020 framework programme,True,False,False,False
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data,https://open-research-europe.ec.europa.eu/articles/4-45,2024-10-25,1,Horizon 2020 Framework Programme,4-45,horizon 2020 framework programme,True,False,False,False
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic,https://open-research-europe.ec.europa.eu/articles/4-95,2024-10-25,1,ERASMUS+ Project,4-95,erasmus+ project,False,False,False,True
Ten lessons for future MSCA/COFUND applicants,https://open-research-europe.ec.europa.eu/articles/4-233,2024-10-25,1,Horizon 2020 Framework Programme,4-233,horizon 2020 framework programme,True,False,False,False
"Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa",https://open-research-europe.ec.europa.eu/articles/4-232,2024-10-25,2,Horizon Europe Framework Programme,4-232,horizon europe framework programme,False,True,False,False
"Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa",https://open-research-europe.ec.europa.eu/articles/4-232,2024-10-25,2,Cape Peninsula University of Technology,4-232,cape peninsula university of technology,False,True,False,False
Fabrication of hydrogel mini-capsules as carrier systems,https://open-research-europe.ec.europa.eu/articles/3-191,2024-10-25,1,Horizon 2020 Framework Programme,3-191,horizon 2020 framework programme,True,False,False,False
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach,https://open-research-europe.ec.europa.eu/articles/4-151,2024-10-25,1,Horizon 2020 Framework Programme,4-151,horizon 2020 framework programme,True,False,False,False
Modelling drift of cold-stunned Kemp's ridley turtles stranding on the Dutch coast,https://open-research-europe.ec.europa.eu/articles/4-41,2024-10-25,1,Horizon 2020 Framework Programme,4-41,horizon 2020 framework programme,True,False,False,False
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment,https://open-research-europe.ec.europa.eu/articles/4-80,2024-10-22,2,Horizon 2020 Framework Programme,4-80,horizon 2020 framework programme,True,False,False,False
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment,https://open-research-europe.ec.europa.eu/articles/4-80,2024-10-22,2,This work has been supported by the Austrian COMET-K2 programme of the Linz Center of Mechatronics (LCM).,4-80,this work has been supported by the austrian comet-k2 programme of the linz center of mechatronics (lcm).,True,False,False,False
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex,https://open-research-europe.ec.europa.eu/articles/4-230,2024-10-18,3,Horizon 2020 Framework Programme,4-230,horizon 2020 framework programme,True,False,False,False
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex,https://open-research-europe.ec.europa.eu/articles/4-230,2024-10-18,3,Instituto de Salud Carlos III,4-230,instituto de salud carlos iii,True,False,False,False
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex,https://open-research-europe.ec.europa.eu/articles/4-230,2024-10-18,3,"Consejería de Salud y Familias, Junta de Andalucía",4-230,"consejería de salud y familias, junta de andalucía",True,False,False,False
Comparison of radiant intensity in aqueous media using experimental and numerical simulation techniques,https://open-research-europe.ec.europa.eu/articles/4-18/v1,2024-10-18,1,Horizon 2020 Framework Programme,4-18,horizon 2020 framework programme,True,False,False,False
Experimental Modelling of Water-Wave Interactions with a Flexible Beam,https://open-research-europe.ec.europa.eu/articles/4-229,2024-10-18,1,Horizon 2020 Framework Programme,4-229,horizon 2020 framework programme,True,False,False,False
Navigating the complex policy landscape for carbon farming in The Netherlands and the EU,https://open-research-europe.ec.europa.eu/articles/4-228,2024-10-18,1,Horizon 2020 Framework Programme,4-228,horizon 2020 framework programme,True,False,False,False
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections,https://open-research-europe.ec.europa.eu/articles/4-227,2024-10-18,6,Horizon 2020 Framework Programme,4-227,horizon 2020 framework programme,True,False,False,False
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections,https://open-research-europe.ec.europa.eu/articles/4-227,2024-10-18,6,Carlsbergfondet,4-227,carlsbergfondet,True,False,False,False
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections,https://open-research-europe.ec.europa.eu/articles/4-227,2024-10-18,6,Danmarks Grundforskningsfond,4-227,danmarks grundforskningsfond,True,False,False,False
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections,https://open-research-europe.ec.europa.eu/articles/4-227,2024-10-18,6,Novo Nordisk Fonden,4-227,novo nordisk fonden,True,False,False,False
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections,https://open-research-europe.ec.europa.eu/articles/4-227,2024-10-18,6,Danish Agency for Science and Higher Education,4-227,danish agency for science and higher education,True,False,False,False
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections,https://open-research-europe.ec.europa.eu/articles/4-227,2024-10-18,6,Innovationsfonden,4-227,innovationsfonden,True,False,False,False
Targeting deeply-sourced seeps along the Central Volcanic Zone,https://open-research-europe.ec.europa.eu/articles/4-226,2024-10-18,5,Horizon 2020 Framework Programme,4-226,horizon 2020 framework programme,True,False,False,False
Targeting deeply-sourced seeps along the Central Volcanic Zone,https://open-research-europe.ec.europa.eu/articles/4-226,2024-10-18,5,NSF FRES,4-226,nsf fres,True,False,False,False
Targeting deeply-sourced seeps along the Central Volcanic Zone,https://open-research-europe.ec.europa.eu/articles/4-226,2024-10-18,5,FONDECYT,4-226,fondecyt,True,False,False,False
Targeting deeply-sourced seeps along the Central Volcanic Zone,https://open-research-europe.ec.europa.eu/articles/4-226,2024-10-18,5,COPAS COASTAL ANID,4-226,copas coastal anid,True,False,False,False
Targeting deeply-sourced seeps along the Central Volcanic Zone,https://open-research-europe.ec.europa.eu/articles/4-226,2024-10-18,5,FONDECYT-ANID,4-226,fondecyt-anid,True,False,False,False
Dynamic participation in local energy communities with peer-to-peer trading,https://open-research-europe.ec.europa.eu/articles/2-5,2024-10-18,1,Horizon 2020 Framework Programme,2-5,horizon 2020 framework programme,True,False,False,False
Prospective versus retrospective: a simple matter of timing?,https://open-research-europe.ec.europa.eu/articles/4-225,2024-10-18,1,Horizon 2020 Framework Programme,4-225,horizon 2020 framework programme,True,False,False,False
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology,https://open-research-europe.ec.europa.eu/articles/4-133,2024-10-18,3,Horizon 2020 Framework Programme,4-133,horizon 2020 framework programme,True,False,False,False
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology,https://open-research-europe.ec.europa.eu/articles/4-133,2024-10-18,3,Universidad de Salamanca Research Program,4-133,universidad de salamanca research program,True,False,False,False
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology,https://open-research-europe.ec.europa.eu/articles/4-133,2024-10-18,3,Agencia Estatal de Investigacion,4-133,agencia estatal de investigacion,True,False,False,False
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation,https://open-research-europe.ec.europa.eu/articles/4-224,2024-10-17,3,US National Institutes of Health,4-224,us national institutes of health,False,False,False,True
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation,https://open-research-europe.ec.europa.eu/articles/4-224,2024-10-17,3,"Royal Society, Future Leaders African Independent Researchers (FLAIR) Scheme",4-224,"royal society, future leaders african independent researchers (flair) scheme",False,False,False,True
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation,https://open-research-europe.ec.europa.eu/articles/4-224,2024-10-17,3,European and Developing Countries Clinical Trials Partnership,4-224,european and developing countries clinical trials partnership,False,False,False,True
Digital marketplaces in European research landscape: A systematic literature review,https://open-research-europe.ec.europa.eu/articles/4-223,2024-10-17,1,Horizon 2020 Framework Programme,4-223,horizon 2020 framework programme,True,False,False,False
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies,https://open-research-europe.ec.europa.eu/articles/4-59,2024-10-17,1,Horizon 2020 Framework Programme,4-59,horizon 2020 framework programme,True,False,False,False
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children,https://open-research-europe.ec.europa.eu/articles/3-220,2024-10-17,1,Horizon 2020 Framework Programme,3-220,horizon 2020 framework programme,True,False,False,False
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe,https://open-research-europe.ec.europa.eu/articles/4-222,2024-10-17,1,Erasmus+,4-222,erasmus+,False,False,False,True
"Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh)",https://open-research-europe.ec.europa.eu/articles/4-176,2024-10-17,1,European Cooperation in Science and Technology,4-176,european cooperation in science and technology,False,False,False,True
Common errors in Generative AI systems used for knowledge extraction in the climate action domain,https://open-research-europe.ec.europa.eu/articles/4-221,2024-10-16,1,Horizon Europe Framework Programme,4-221,horizon europe framework programme,False,True,False,False
Exploring self-care and self-development practices among refugee adolescents through photos: An art-based participatory qualitative study,https://open-research-europe.ec.europa.eu/articles/4-219,2024-10-15,1,Horizon 2020 Framework Programme,4-219,horizon 2020 framework programme,True,False,False,False
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights,https://open-research-europe.ec.europa.eu/articles/4-138,2024-10-15,1,Horizon Europe Framework Programme,4-138,horizon europe framework programme,False,True,False,False
"Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation",https://open-research-europe.ec.europa.eu/articles/3-125,2024-10-15,1,Horizon Europe Framework Programme,3-125,horizon europe framework programme,False,True,False,False
Ex-vivo evaluation of Plasmodium falciparum-induced cytokine expression in chronic hepatitis B virus-infected and uninfected individuals,https://open-research-europe.ec.europa.eu/articles/4-218,2024-10-15,1,European and Developing Countries Clinical Trials Partnership,4-218,european and developing countries clinical trials partnership,False,False,False,True
Collaborative design approach to identify research and innovation needs within the European smart building community,https://open-research-europe.ec.europa.eu/articles/3-36,2024-10-15,1,Horizon 2020 Framework Programme,3-36,horizon 2020 framework programme,True,False,False,False
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica,https://open-research-europe.ec.europa.eu/articles/4-30,2024-10-15,3,Horizon 2020 Framework Programme,4-30,horizon 2020 framework programme,True,False,False,False
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica,https://open-research-europe.ec.europa.eu/articles/4-30,2024-10-15,3,Research Centre for Arctic Petroleum Exploration (ARCEx,4-30,research centre for arctic petroleum exploration (arcex,True,False,False,False
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica,https://open-research-europe.ec.europa.eu/articles/4-30,2024-10-15,3,Research Council of Norway),4-30,research council of norway),True,False,False,False
