标题;链接;作者;机构;国家;大学
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Luis Pedro Carmo;Norwegian Veterinary Institute, Ås, 1443;Norway;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Iskra Cvetkovikj;Faculty of Veterinary Medicine-Skopje, Ss Cyril and Methodius University in Skopje, Skopje, 1000;North Macedonia;Ss Cyril and Methodius University in Skopje
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Marcel Erhard;RIPAC-LABOR GmbH, Potsdam, 14476;Germany;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Annet Heuvelink;Royal GD, Deventer, 7418;The Netherlands;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Lisbeth Rem Jessen;Department of Veterinary Clinical Sciences, University of Copenhagen, Frederiksberg, 1870;Denmark;University of Copenhagen
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Gudrun Overesch;Institute of Veterinary Bacteriology, University of Bern, Bern, 3012;Switzerland;University of Bern
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Ludovic Pelligand;Department of Comparative Biomedical Sciences and Department of Clinical Services and Sciences, The Royal Veterinary College, Hatfield, AL9 7TA;UK;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Jonathan Gómez Raja;FUNDESALUD, Government of Extremadura, Mérida, 06800;Spain;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Karolina Scahill;Infection Medicine, University of Edinburgh, Edinburgh, EH16 4 SB;UK;University of Edinburgh
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Dorina Timofte;ESCMID Study Group for Veterinary Microbiology (ESGVM), Basel;Switzerland;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Ana P Vale;ESCMID Study Group for Veterinary Microbiology (ESGVM), Basel;Switzerland;
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Kees Veldman;National Reference Laboratory on Antimicrobial Resistance in animals, Wageningen University and Research, Lelystad, 8221 RA;The Netherlands;Wageningen University and Research
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;Els M Broens;Department of Biomolecular Health Sciences, Utrecht University, Utrecht, 3584 CL;The Netherlands;Utrecht University
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;on behalf of ENOVAT and ESGVM;;;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Henriikka Hakomäki;A.I. Virtanen Institute for Molecular Sciences, University of Eastern Finland, Kuopio, Neulaniementie 2, 70211;Finland;University of Eastern Finland
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Sini Pitkänen;A.I. Virtanen Institute for Molecular Sciences, University of Eastern Finland, Kuopio, Neulaniementie 2, 70211;Finland;University of Eastern Finland
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Anna-Liisa Levonen;A.I. Virtanen Institute for Molecular Sciences, University of Eastern Finland, Kuopio, Neulaniementie 2, 70211;Finland;University of Eastern Finland
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Paavo Honkakoski;School of Pharmacy, University of Eastern Finland, Kuopio, Yliopistonrinne 3, 70211;Finland;University of Eastern Finland
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Dario Greco;FHAIVE, Faculty of Medicine and Health Technology, Tampere University, Tampere, Arvo Ylpön katu 34, 33520;Finland;Tampere University
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Laura Aliisa Saarimäki;FHAIVE, Faculty of Medicine and Health Technology, Tampere University, Tampere, Arvo Ylpön katu 34, 33520;Finland;Tampere University
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Susana Viegas;NOVA National School of Public Health, Public Health Research Centre, Comprehensive Health Research Center, CHRC, REAL, CCAL, NOVA University Lisbon, Lisbon, Av. Padre Cruz, 1600-560;Portugal;NOVA University Lisbon
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Cristina Godinho;NOVA National School of Public Health, Public Health Research Centre, Comprehensive Health Research Center, CHRC, REAL, CCAL, NOVA University Lisbon, Lisbon, Av. Padre Cruz, 1600-560;Portugal;NOVA University Lisbon
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Nanna Fyhrquist;Institute of Environmental Medicine, Karolinska Institutet, Stockholm, Nobels väg 13, 171 77;Sweden;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Emma Wincent;Institute of Environmental Medicine, Karolinska Institutet, Stockholm, Nobels väg 13, 171 77;Sweden;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Volker M Lauschke;Dr Margarete Fischer Bosch Institute of Clinical Pharmacology, Stuttgart, Baden-Württemberg, Auerbachstraße 112, 70376;Germany;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Janne Hukkanen;Research Unit of Biomedicine and Internal Medicine, University of Oulu, Oulu, POB 5000, FI-90014;Finland;University of Oulu
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Jukka Hakkola;Research Unit of Biomedicine and Internal Medicine, University of Oulu, Oulu, POB 5000, FI-90014;Finland;University of Oulu
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Ludovic Vallier;Max Planck Institute for Molecular Genetics, Berlin, Ihnestraße 63, 14195;Germany;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Vittorio Fortino;Institute of Biomedicine, School of Medicine, University of Eastern Finland, Kuopio, Yliopistonranta 8, 70211;Finland;University of Eastern Finland
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Antreas Afantitis;NovaMechanics Ltd, Nicosia, Digeni Akrita 51, 1070;Cyprus;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Toshiaki Sawatani;ULB Center for Diabetes Research, Universite Libre de Bruxelles, Brussels, CP618 Erasme, 1070;Belgium;Universite Libre de Bruxelles
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Tereso J Guzman;ULB Center for Diabetes Research, Universite Libre de Bruxelles, Brussels, CP618 Erasme, 1070;Belgium;Universite Libre de Bruxelles
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Miriam Cnop;WEL Research Institute, Wavre, Avenue Pasteur 6, 1300;Belgium;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Tim Nawrot;Department of Public Health & Primary Care, Occupational & Environmental Medicine, KU Leuven, Leuven, Herestraat 49, 3001;Belgium;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Sophia Harlid;Department of Diagnostics and Intervention, Oncology, Umeå University, Umeå, 901 87;Sweden;Umeå University
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Marie-Therese Vinnars;Department of Clinical Sciences, Obstetrics and Gynecology, Umeå University, Umeå, 901 85;Sweden;Umeå University
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Adonina Tardon;Health Research Institute of Asturias (FINBA-ISPA) and University of Oviedo, Oviedo, Asturias, Av. del Hospital Universitario, s/n, 33011;Spain;Health Research Institute of Asturias (FINBA-ISPA) and University of Oviedo
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Joan O Grimalt;Institute of Environmental Assessment and Water Research, IDAEA-CSIC, Barcelona, 18 26, Carrer de Jordi Girona, 18-26, 08034;Spain;
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Jenni Küblbeck;A.I. Virtanen Institute for Molecular Sciences, University of Eastern Finland, Kuopio, Neulaniementie 2, 70211;Finland;University of Eastern Finland
Unmasking metabolic disruptors: The NEMESIS project's quest for Novel Biomarkers, Evidence on Adverse Effects, and Efficient Methodologies;https://open-research-europe.ec.europa.eu/articles/4-194;Jaana Rysä;School of Pharmacy, University of Eastern Finland, Kuopio, Yliopistonrinne 3, 70211;Finland;University of Eastern Finland
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Francesco D'Agostino;Department of Molecular and Translational Medicine, Università degli Studi di Brescia, Brescia, Italy, 25125;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Maria Vliora;FAME Laboratory, Department of Exercise Science, University of Thessaly, Volos, Thessalia Sterea Ellada;Greece;University of Thessaly
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Elisabetta Grillo;Department of Molecular and Translational Medicine, Università degli Studi di Brescia, Brescia, Italy, 25125;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Michela Corsini;Department of Molecular and Translational Medicine, Università degli Studi di Brescia, Brescia, Italy, 25125;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Cosetta Ravelli;Department of Molecular and Translational Medicine, Università degli Studi di Brescia, Brescia, Italy, 25125;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Anna Simonetto;Department Civil, Environmental, Architectural Engineering and Mathematics, Università degli Studi di Brescia, Brescia, Lombardy;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Gianni Gilioli;Department Civil, Environmental, Architectural Engineering and Mathematics, Università degli Studi di Brescia, Brescia, Lombardy;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Stefania Mitola;Department of Molecular and Translational Medicine, Università degli Studi di Brescia, Brescia, Italy, 25125;Italy;Università degli Studi di Brescia
Impacts of obesity and obesogenic behaviours on climate change: a systematic review protocol;https://open-research-europe.ec.europa.eu/articles/4-166;Andreas D. Flouris;Discovery Foundation, Drapeti, Dimos Minoa Pediadas, Iraklion, 70300;Greece;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Michael RAESS;INFRAFRONTIER GmbH ;Germany;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Omran Alhaddad;INSTRUCT-ERIC;UK;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Johanna Bischof;Bio-Hub, Euro-BioImaging ERI;Germany;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;John Dolan;INSTRUCT-ERIC;UK;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Ayoub El Ghadraoui;Bio-Hub, Euro-BioImaging ERI;Germany;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Marco Galeotti;EMSO-ERIC;Italy;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Ulla Lächele;Deutsches Elektronen-Synchrotron DESY;Germany;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Xavier Meyer;European Science Foundation;France;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Oguz Ozkan;European Science Foundation;France;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Ivan Rodero;EMSO-ERIC;Italy;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Hannele Savela;INTERACT Nonprofit Association;Sweden;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;John Shepherdson;CESSDA ERIC;Norway;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Vanessa Spadetto;INTERACT Nonprofit Association;Sweden;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Valentina Tegas;EMSO-ERIC;Italy;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Susanne Vainio;Euro-BioImaging ERIC;Finland;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Alen Vodopijevec;CESSDA ERIC;Norway;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Bonnie Wolff-Boenisch;CESSDA ERIC;Norway;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Claudia Alen Amaro;INSTRUCT-ERIC;UK;
Facilitating remote and virtual access provision by European research infrastructures – requirements, issues, and recommendations;https://open-research-europe.ec.europa.eu/articles/4-152/v1;Annika Thies;Deutsches Elektronen-Synchrotron DESY;Germany;
Qualitative-archival research on migration is not just preservation;https://open-research-europe.ec.europa.eu/articles/4-149;Federica Manzoli;Department of Studies on Languages and Culture, University of Modena and Reggio Emilia, Modena, Emilia Romagna, 41121;Italy;University of Modena and Reggio Emilia
Qualitative-archival research on migration is not just preservation;https://open-research-europe.ec.europa.eu/articles/4-149;Matteo Al Kalak;Department of Studies on Languages and Culture, University of Modena and Reggio Emilia, Modena, Emilia Romagna, 41121;Italy;University of Modena and Reggio Emilia
Qualitative-archival research on migration is not just preservation;https://open-research-europe.ec.europa.eu/articles/4-149;Maria Chiara Rioli;Department of Studies on Languages and Culture, University of Modena and Reggio Emilia, Modena, Emilia Romagna, 41121;Italy;University of Modena and Reggio Emilia
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Leonie A. Dudda;Department of Otorhinolaryngology, Head and Neck Surgery, University Medical Center Utrecht, Utrecht;The Netherlands;University Medical Center Utrecht
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Magdalena Kozula;Faculty of Psychology and Educational Sciences, Methodology of Educational Sciences Research Group, KU Leuven;Belgium;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Tony Ross-Hellauer;Know-Center GmbH, Graz;Austria;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Eva Kormann;Institute of Interactive Systems and Data Science, Technische Universitat Graz, Graz, Styria;Austria;Technische Universitat Graz
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;René Spijker;Amsterdam Public Health, Medical Library, Amsterdam UMC, Univ of Amsterdam, Amsterdam;The Netherlands;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Nicholas DeVito;Bennett Institute for Applied Data Science, Nuffield Department of Primary Care Health Sciences, University of Oxford, Oxford, England;UK;University of Oxford
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Gowri Gopalakrishna;Faculty of Health, Medicine & Life Sciences, Maastricht University, Maastricht;The Netherlands;Maastricht University
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Veerle Van den Eynden;Research Coordination Office & RDM Competence Centre, KU Leuven, Leuven, Flanders;Belgium;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Patrick Onghena;Faculty of Psychology and Educational Sciences, Methodology of Educational Sciences Research Group, KU Leuven;Belgium;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Florian Naudet;Institut Universitaire de France, Paris;France;Institut Universitaire de France
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Rita Banzi;Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Milan;Italy;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Maddalena Fratelli;Istituto di Ricerche Farmacologiche Mario Negri IRCCS, Milan;Italy;
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Monika Varga;Institute of Animal Sciences, Hungarian University of Agriculture and Life Sciences, Kaposvar;Hungary;Hungarian University of Agriculture and Life Sciences
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Yuri Andrei Gelsleichter;Department of Soil Science, Institute of Environmental Sciences, Hungarian University of Agriculture and Life Sciences, Gödöllő;Hungary;Hungarian University of Agriculture and Life Sciences
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Inge Stegeman;Department of Otorhinolaryngology, Head and Neck Surgery, University Medical Center Utrecht, Utrecht;The Netherlands;University Medical Center Utrecht
Scoping review and evidence mapping of interventions aimed at improving reproducible and replicable science: Protocol;https://open-research-europe.ec.europa.eu/articles/3-179;Mariska M. Leeflang;Department of Epidemiology and Data Science, Amsterdam UMC, Amsterdam;The Netherlands;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Minju Lee;Cosmic Dawn Center (DAWN), Copenhagen;Denmark;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Alice Schimek;Institute of Theoretical Astrophysics, University of Oslo, Oslo, Oslo;Norway;University of Oslo
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Claudia Cicone;Institute of Theoretical Astrophysics, University of Oslo, Oslo, Oslo;Norway;University of Oslo
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Paola Andreani;European Southern Observatory, Garching bei Munchen, 85748;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Gergo Popping;European Southern Observatory, Garching bei Munchen, 85748;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Laura Sommovigo;Center for Computational Astrophysics, Flatiron Institute, New York, New York;USA;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Philip N. Appleton;Infrared Processing and Analysis Center (IPAC), California Institute of Technology, Pasadena, California;USA;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Manuela Bischetti;Astronomy Unit, Department of Physics, University of Trieste, Trieste;Italy;University of Trieste
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Sebastiano Cantalupo;Department of Physics, University of Milan Bicocca, Milano;Italy;University of Milan Bicocca
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Chian-Chou Chen;Institute of Astronomy and Astrophysics Academia Sinica, Taipei City;Taiwan;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Helmut Dannerbauer;Dpto. Astrofisica, Universidad de La Laguna, San Cristóbal de La Laguna, Canary Islands;Spain;Universidad de La Laguna
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Carlos De Breuck;European Southern Observatory, Garching bei Munchen, 85748;Germany;
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Luca Di Mascolo;IFPU -- Institute for Fundamental Physics of the Universe, Trieste;Italy;IFPU -- Institute for Fundamental Physics of the Universe
Atacama Large Aperture Submillimeter Telescope (AtLAST) science: The hidden circumgalactic medium;https://open-research-europe.ec.europa.eu/articles/4-117;Bjorn H.C. Emonts;National Radio Astronomy Observatory, Charlottesville, VA;USA;
