题目;链接;姓名;机构;国家;状态
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Wei Wang;Norwegian University of Science and Technology;Norway;Normal
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Philipp E Sischka;University of Luxembourg;Luxembourg;Normal
Exploring high growth emerging market SMEs’ engagement with digitalization:  Analysis of the literature from Malaysia and Poland;https://open-research-europe.ec.europa.eu/articles/4-250;Henry Jonathan Karyamsetty;Modern College of Business and Science;Oman;Normal
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Wenhao Song;University of Southern California;USA;Normal
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Charles P. Rizzo;The University of Tennessee Knoxville;USA;Normal
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Tanguy Damart;Ecole Polytechnique Federale de Lausanne;Switzerland;Normal
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Erika Covi;University of Groningen;The Netherlands;Normal
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Arianna Rubino;University of Zurich and ETH Zurich;Switzerland;Normal
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Ulfah Amalia;Universitas Diponegoro;Indonesia;Normal
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Sharon Nunal;University of the Philippines Visayas;Philippines;Normal
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Bui Xuan Dong;The University of Danang;Vietnam;Normal
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165/v1;Flavio Vella;University of Trento;Italy;Normal
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165/v1;Ahmed Kamaleldin;Technische Universitat Dresden;Germany;Normal
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165/v1;Roman Wyrzykowski;Czestochowa University of Technology;Poland;Normal
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165/v1;William Dawson;RIKEN Center for Computational Science;Japan;Normal
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165/v1;Keichi Takahashi;University of Osaka;Japan;Normal
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164;Jessica L Faulkner;Augusta University;USA;Normal
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164;Xinhua Xiao;Peking Union Medical College;China;Normal
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164;Dorota Darmochwał-Kolarz;University of Rzeszów;Poland;Normal
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Zhi Ting Ye;National Chung Cheng University;Taiwan;Normal
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Saif Wakeel;Tyndall National Institute;Ireland;Normal
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Jie Ren;Chinese Academy of Sciences;China;Normal
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Ming-Han Chou;AWS Center for Quantum Computing;USA;Normal
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;Jelena ĆIRIĆ;Institute of Meat Hygiene and Technology;Serbia;Normal
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;Juraj Majtan;Institute of Molecular Biology;Slovakia;Normal
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;Neeraj Kumar Bhoi;Banasthali University (Ringgold ID: 29803);India;Normal
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;Laura Donato;Universite Libre de Bruxelles;Belgium;Normal
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;Shibo Kuang;Monash University;Australia;Normal
Data analytics for research on complex brain disorders;https://open-research-europe.ec.europa.eu/articles/4-246;Ali Husnain;Chicago State University;USA;Normal
Data analytics for research on complex brain disorders;https://open-research-europe.ec.europa.eu/articles/4-246;Yu-Fang Yang;Freie Universität Berlin;Germany;Normal
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;Andrea Lami;National Research Council;Italy;Normal
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;Hongwei Guo;Nankai University;China;Normal
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;Arno Hooijboer;National Institute for Public Health and the Environment;The Netherlands;Normal
Towards ‘retroliberalism’ or food security?: Donor development aid to the agricultural sectors of four Melanesian states, 2008-2021;https://open-research-europe.ec.europa.eu/articles/4-243;Rusha Begna Wakweya;Ethiopian Forestry Development;Ethiopia;Normal
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179;Lucy Carter;CSIRO Environment;Australia;Normal
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179;Sarah Hatch;Cardiff University;UK;Normal
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179;Loreta Tauginienė;Kazimieras Simonavicius University;Lithuania;Normal
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242/v1;Pieter Vancamp;Nantes Université;France;Normal
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242/v1;Andrea Cediel-Ulloa;Uppsala University;Sweden;Normal
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242/v1;Josef Köhrle;Charité-Universitätsmedizin Berlin;Germany;Normal
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242/v1;Jean-Baptiste Fini;CNRS UMR 7221;France;Normal
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;Idris Olatunji Sanusi;Kampala International University;Uganda;Normal
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;Unax Lertxundi;Bioaraba Health Research Institute;Spain;Normal
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Thomas Margoni;KU Leuven;Belgium;Normal
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Ana Nordberg;Lund University;Sweden;Normal
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Pablo Rodrigo Trigo Kramcsak;Vrije Universiteit Brussel;Belgium;Normal
Protocol for Surveying Participants and Professionals’ Experiences in an International Kidney Transplant Clinical Trial;https://open-research-europe.ec.europa.eu/articles/4-241;;;;Awaiting Review
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Tijeni Delleji;Science and Technology for Defense Lab (STD);Tunisia;Normal
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Omar Alharasees;Budapest University of Technology and Economics;Hungary;Normal
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Sofia Mateou;Prince Sultan University;Saudi Arabia;Normal
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Abdulhadi Shoufan;Khalifa University;United Arab Emirates;Normal
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Bruce Edmonds;Manchester Metropolitan University;UK;Normal
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Melania Borit;UiT The Arctic University of Norway;Norway;Normal
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Puyang Li;Duke Kunshan University;China;Normal
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Anne Goujon;International Institute for Applied Systems Analysis;Austria;Normal
From operational design domain to test cases: A methodology to include harsh weather;https://open-research-europe.ec.europa.eu/articles/4-238;Mauro Bellone;Tallinn University of Technology;Estonia;Normal
From operational design domain to test cases: A methodology to include harsh weather;https://open-research-europe.ec.europa.eu/articles/4-238;Nemanja Djuric;Aurora Innovation;USA;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Marie Claire Brisbois;University of Sussex;UK;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Lorenzo De Vidovich;Università di Trieste;Italy;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Mahyar Kamali Saraji;Vilnius University;Lithuania;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Ruth Shortall;Joint Research Centre (JRC);The Netherlands;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Lefteris Topaloglou;University of Western Macedonia (UOWM);Greece;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Md Tasbirul Islam;King Fahd University of Petroleum and Minerals (KFUPM);Saudi Arabia;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Paola D’Orazio;Technische Universität Chemnitz;Germany;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Adolf Acquaye;Khalifa University;United Arab Emirates;Normal
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Benjamin Schmid;University of Lausanne;Switzerland;Normal
Ethical Impact Assessment of Sharing Nanosafety Data;https://open-research-europe.ec.europa.eu/articles/4-237;Siviwe Bangani;Stellenbosch University;South Africa;Normal
Risk assessment for Na-Zn liquid metal batteries;https://open-research-europe.ec.europa.eu/articles/4-236;Farooq Ahmad;nstitute of Molecular Physics Polish Academy of Sciences;Poland;Normal
Risk assessment for Na-Zn liquid metal batteries;https://open-research-europe.ec.europa.eu/articles/4-236;Binghe Liu;Chongqing University;China;Normal
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Beckett Sterner;Arizona State University;USA;Normal
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Gijs van Maanen;Tilburg University;The Netherlands;Normal
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Igor Calzada;Cardiff University;UK;Normal
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Matthew Hanchard;The University of Sheffield;UK;Normal
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Claude Draude;University of Kassel;Germany;Normal
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;Carla Bonina;University of Surrey;UK;Normal
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95;Fahriye Altinay;Near East University;Turkey;Normal
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95;Som Nath Ghimire;Nepal Open University;Nepal;Normal
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95;Lancelord Siphamandla Mncube;University of South Africa;South Africa;Normal
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95;Michelle Harrison;Thompson Rivers University;Canada;Normal
Ten lessons for future MSCA/COFUND applicants;https://open-research-europe.ec.europa.eu/articles/4-233/v1;Vrinda Acharya;Manipal Academy of Higher Education;India;Normal
Ten lessons for future MSCA/COFUND applicants;https://open-research-europe.ec.europa.eu/articles/4-233/v1;Mario Coccia;CNR-National Research Council of Italy;Italy;Normal
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Raouf Hassan;Imam Mohammad Ibn Saud Islamic University;Saudi Arabia;Normal
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Laila Mandi;Cadi Ayyad University;Morocco;Normal
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Gideon Oron;University of the Negev;Israel;Normal
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;Gianluigi Buttiglieri;ICRA-CERCA. Catalan Institute for Water Research;Spain;Normal
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191/v1;Mahmut Selman Sakar;Ecole Polytechnique Federale de Lausanne;Switzerland;Normal
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191/v1;Dr. Sudhir G. Warkar;Delhi Technological University;India;Normal
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191/v1;Samuel Stealey;Saint Louis University;USA;Normal
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191/v1;Bradley Nelson;Multi-Scale Robotics Lab;Switzerland;Normal
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191/v1;Min-Soo Kim;ETH Zurich;Switzerland;Normal
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach;https://open-research-europe.ec.europa.eu/articles/4-151/v1;M.G van der Meij;VU University;The Netherlands;Normal
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach;https://open-research-europe.ec.europa.eu/articles/4-151/v1;Tiffanie Stone;Aarhus University;Denmark;Normal
Modelling drift of cold-stunned Kemp's ridley turtles stranding on the Dutch coast;https://open-research-europe.ec.europa.eu/articles/4-41;Lesley Stokes;NOAA/National Marine Fisheries Service;USA;Normal
Modelling drift of cold-stunned Kemp's ridley turtles stranding on the Dutch coast;https://open-research-europe.ec.europa.eu/articles/4-41;Casper Van de Geer;University of Exeter (Ringgold ID: 151752);UK;Normal
Modelling drift of cold-stunned Kemp's ridley turtles stranding on the Dutch coast;https://open-research-europe.ec.europa.eu/articles/4-41;Philippe Gaspar;Mercator Océan International:;France;Normal
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment;https://open-research-europe.ec.europa.eu/articles/4-80;Harald Luksch;Technische Universität München;Germany;Normal
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment;https://open-research-europe.ec.europa.eu/articles/4-80;Sandra I. Vieira;University of Aveiro;Portugal;Normal
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment;https://open-research-europe.ec.europa.eu/articles/4-80;Tak-Ho Chu;University of Calgary;Canada;Normal
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex;https://open-research-europe.ec.europa.eu/articles/4-230;Janis Rebecca Bedarf;Quadram Institute Bioscience;UK;Normal
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex;https://open-research-europe.ec.europa.eu/articles/4-230;Peppino Mirabelli;Santobono-Pausilipon Children’s Hospital;Italy;Normal
Comparison of radiant intensity in aqueous media using experimental and numerical simulation techniques;https://open-research-europe.ec.europa.eu/articles/4-18/v1;Wenjun Ge;Oak Ridge National Lab;USA;Normal
Comparison of radiant intensity in aqueous media using experimental and numerical simulation techniques;https://open-research-europe.ec.europa.eu/articles/4-18/v1;Jorge Garcia-Marquez;LNE;France;Normal
Comparison of radiant intensity in aqueous media using experimental and numerical simulation techniques;https://open-research-europe.ec.europa.eu/articles/4-18/v1;Sainath A Waghmare;IIT Bombay;India;Normal
Experimental Modelling of Water-Wave Interactions with a Flexible Beam;https://open-research-europe.ec.europa.eu/articles/4-229;Changqing Jiang;University of Duiburg-Essen;Germany;Normal
Experimental Modelling of Water-Wave Interactions with a Flexible Beam;https://open-research-europe.ec.europa.eu/articles/4-229;Zhaolong Yu;Norwegian University of Science and Technology;Norway;Normal
Navigating the complex policy landscape for carbon farming in The Netherlands and the EU;https://open-research-europe.ec.europa.eu/articles/4-228;Helmi Helmi;Syiah Kuala University;Indonesia;Normal
Navigating the complex policy landscape for carbon farming in The Netherlands and the EU;https://open-research-europe.ec.europa.eu/articles/4-228;Carsten Paul;Leibniz Centre for Agricultural Landscape Research (ZALF);Germany;Normal
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;Nelson Enrique Arenas;Universidad de Cartagena;Colombia;Normal
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;Luca Fontanesi;University of Bologna;Italy;Normal
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;Simon Hammann;University of Hohenheim;Germany;Normal
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;Richard Bernstein;Institute for Bee Research Hohen Neuendorf;Germany;Normal
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;Mark Alexander Lever;University of Texas at Austin;USA;Normal
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;Magdalena Osburn;Northwestern University;USA;Normal
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;Francesco Ricci;Monash University;Australia;Normal
