题目;链接;发表时间;资助者个数;资助者名称
Seeing is believing: How citizen science challenges riparian misconceptions;https://open-research-europe.ec.europa.eu/articles/5-89;2025-03-31;2;Horizon Europe Framework Programme
Seeing is believing: How citizen science challenges riparian misconceptions;https://open-research-europe.ec.europa.eu/articles/5-89;2025-03-31;2;NextGenerationEU
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;2025-03-31;3;Horizon 2020 Framework Programme
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;2025-03-31;3;Horizon Europe Framework Programme
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;2025-03-31;3;LIFE programme
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation;https://open-research-europe.ec.europa.eu/articles/5-87;2025-03-31;3;Horizon 2020 Framework Programme
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation;https://open-research-europe.ec.europa.eu/articles/5-87;2025-03-31;3;Horizon Europe Framework Programme
Connecting complex and simplified models of tipping elements: a nonlinear two-forcing emulator for the Atlantic meridional overturning circulation;https://open-research-europe.ec.europa.eu/articles/5-87;2025-03-31;3;European Research Council
Analysing stakeholder perceptions in organic farming using fuzzy cognitive maps;https://open-research-europe.ec.europa.eu/articles/5-86;2025-03-31;1;Horizon 2020 Framework Programme
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;2025-03-31;1;Horizon Europe Framework Programme
Recovery and potential use for non-polyolefin materials after physical recycling of complex multilayers;https://open-research-europe.ec.europa.eu/articles/4-255;2024-11-27;1;Horizon 2020 Framework Programme
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;2024-11-27;3;Horizon 2020 Framework Programme
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;2024-11-27;3;“ICTA-UAB María de Maeztu'' Programme for Units of Excellence of the Spanish Ministry of Science and Innovation
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;2024-11-27;3;EarlyFoods - Agència de Gestió d'Ajuts Universitaris i de Recerca de Catalunya
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;2024-11-27;1;Horizon 2020 Framework Programme
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161;2024-11-27;1;Horizon Europe Framework Programme
Numerical model of aluminothermic reduction vessel preheating and charge heating with graphite heating rods;https://open-research-europe.ec.europa.eu/articles/4-253;2024-11-22;1;Horizon 2020 Framework Programme
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;2024-11-22;1;Horizon 2020 Framework Programme
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;2024-11-22;1;European Cooperation in Science and Technology
Exploring high growth emerging market SMEs’ engagement with digitalization:  Analysis of the literature from Malaysia and Poland;https://open-research-europe.ec.europa.eu/articles/4-250;2024-11-20;1;Horizon Europe Framework Programme
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;2024-11-14;4;Horizon 2020 Framework Programme
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;2024-11-14;4;Deutsche Forschungsgemeinschaft
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;2024-11-14;4;Manfred Stärk Foundation
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;2024-11-14;4;FP7 Information and Communication Technologies
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;2024-11-14;1;Horizon 2020 Framework Programme
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;2024-11-14;4;Horizon 2020 Framework Programme
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;2024-11-14;4;Horizon Europe Framework Programme
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;2024-11-14;4;Agencia Estatal de Investigación
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;2024-11-14;4;European High Performance Computing Joint Undertaking
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164;2024-11-12;2;Horizon 2020 Framework Programme
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164;2024-11-12;2;Junta de Andalucía
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;2024-11-11;2;European Metrology Programme for Innovation and Research
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;2024-11-11;2;German Federal Ministry of Education and Research
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;2024-11-08;1;European Cooperation in Science and Technology
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;2024-11-08;1;Horizon 2020 Framework Programme
Data analytics for research on complex brain disorders;https://open-research-europe.ec.europa.eu/articles/4-246;2024-11-08;1;Horizon 2020 Framework Programme
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;2024-11-07;4;Horizon 2020 Framework Programme
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;2024-11-07;4;Horizon Europe Framework Programme
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;2024-11-07;4;The Innovation Foundation research project ‘SENTEM’ at Envidan and Aarhus University, Denmark
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;2024-11-07;4;AnaEE, Denmark
Towards ‘retroliberalism’ or food security?: Donor development aid to the agricultural sectors of four Melanesian states, 2008-2021;https://open-research-europe.ec.europa.eu/articles/4-243;2024-11-07;1;Horizon 2020 Framework Programme
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179;2024-11-06;1;Horizon 2020 Framework Programme
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Horizon 2020 Framework Programme
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Horizon Europe Framework Programme
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Universiteit Antwerpen
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;FOD Volksgezondheid, Veiligheid van de Voedselketen en Leefmilieu
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Danish Environmental Protection Agency
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Italian National Institute of Health
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;UK Research and Innovation
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Luxembourg Institute of Science and Technology
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Dutch Ministry of Health, Welfare and Sport
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Dutch Ministry of Infrastructure and Water Management
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Dutch Ministry of Agriculture, Fisheries, Food Security and Nature
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;2024-11-06;12;Czech Ministry of Education, Youth and Sports
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;2024-11-04;1;European Cooperation in Science and Technology
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;2024-10-30;1;Horizon 2020 Framework Programme
Protocol for Surveying Participants and Professionals’ Experiences in an International Kidney Transplant Clinical Trial;https://open-research-europe.ec.europa.eu/articles/4-241;2024-10-30;1;Horizon 2020 Framework Programme
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;2024-10-30;1;Internal Security Fund - Police
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;2024-10-29;1;Horizon 2020 Framework Programme
From operational design domain to test cases: A methodology to include harsh weather;https://open-research-europe.ec.europa.eu/articles/4-238;2024-10-29;2;Horizon Europe Framework Programme
From operational design domain to test cases: A methodology to include harsh weather;https://open-research-europe.ec.europa.eu/articles/4-238;2024-10-29;2;Innovate UK
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;2024-10-28;1;Horizon 2020 Framework Programme
Ethical Impact Assessment of Sharing Nanosafety Data;https://open-research-europe.ec.europa.eu/articles/4-237;2024-10-25;1;Horizon 2020 Framework Programme
Risk assessment for Na-Zn liquid metal batteries;https://open-research-europe.ec.europa.eu/articles/4-236;2024-10-25;1;Horizon 2020 Framework Programme
Co-creation of the Digital Democracy and Data Commons Manifesto: alternative sociotechnical visions of data;https://open-research-europe.ec.europa.eu/articles/4-45;2024-10-25;1;Horizon 2020 Framework Programme
Assessment of the use of Open Educational Resources at five European Library and Information Science higher education institutions during and post-COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-95;2024-10-25;1;ERASMUS+ Project
Ten lessons for future MSCA/COFUND applicants;https://open-research-europe.ec.europa.eu/articles/4-233;2024-10-25;1;Horizon 2020 Framework Programme
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;2024-10-25;2;Horizon Europe Framework Programme
Remarks on sustainable disposal and potential reuse of greywater in an informal urban settlement, Cape Town, South Africa;https://open-research-europe.ec.europa.eu/articles/4-232;2024-10-25;2;Cape Peninsula University of Technology
Fabrication of hydrogel mini-capsules as carrier systems;https://open-research-europe.ec.europa.eu/articles/3-191;2024-10-25;1;Horizon 2020 Framework Programme
Transforming European Food Systems with multi-actor networks and Living Labs through the FoodSHIFT Approach;https://open-research-europe.ec.europa.eu/articles/4-151;2024-10-25;1;Horizon 2020 Framework Programme
Modelling drift of cold-stunned Kemp's ridley turtles stranding on the Dutch coast;https://open-research-europe.ec.europa.eu/articles/4-41;2024-10-25;1;Horizon 2020 Framework Programme
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment;https://open-research-europe.ec.europa.eu/articles/4-80;2024-10-22;2;Horizon 2020 Framework Programme
Oriented artificial nanofibers and laser induced periodic surface structures as substrates for Schwann cells alignment;https://open-research-europe.ec.europa.eu/articles/4-80;2024-10-22;2;This work has been supported by the Austrian COMET-K2 programme of the Linz Center of Mechatronics (LCM).
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex;https://open-research-europe.ec.europa.eu/articles/4-230;2024-10-18;3;Horizon 2020 Framework Programme
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex;https://open-research-europe.ec.europa.eu/articles/4-230;2024-10-18;3;Instituto de Salud Carlos III
The gut microbiota-brain axis role in neurodegenerative diseases and implications according to the sex;https://open-research-europe.ec.europa.eu/articles/4-230;2024-10-18;3;Consejería de Salud y Familias, Junta de Andalucía
Comparison of radiant intensity in aqueous media using experimental and numerical simulation techniques;https://open-research-europe.ec.europa.eu/articles/4-18/v1;2024-10-18;1;Horizon 2020 Framework Programme
Experimental Modelling of Water-Wave Interactions with a Flexible Beam;https://open-research-europe.ec.europa.eu/articles/4-229;2024-10-18;1;Horizon 2020 Framework Programme
Navigating the complex policy landscape for carbon farming in The Netherlands and the EU;https://open-research-europe.ec.europa.eu/articles/4-228;2024-10-18;1;Horizon 2020 Framework Programme
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;2024-10-18;6;Horizon 2020 Framework Programme
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;2024-10-18;6;Carlsbergfondet
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;2024-10-18;6;Danmarks Grundforskningsfond
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;2024-10-18;6;Novo Nordisk Fonden
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;2024-10-18;6;Danish Agency for Science and Higher Education
A queen’s tale: Assessing the hidden potential of beeswax specimens in Natural History Museum collections;https://open-research-europe.ec.europa.eu/articles/4-227;2024-10-18;6;Innovationsfonden
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;2024-10-18;5;Horizon 2020 Framework Programme
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;2024-10-18;5;NSF FRES
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;2024-10-18;5;FONDECYT
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;2024-10-18;5;COPAS COASTAL ANID
Targeting deeply-sourced seeps along the Central Volcanic Zone;https://open-research-europe.ec.europa.eu/articles/4-226;2024-10-18;5;FONDECYT-ANID
Dynamic participation in local energy communities with peer-to-peer trading;https://open-research-europe.ec.europa.eu/articles/2-5;2024-10-18;1;Horizon 2020 Framework Programme
Prospective versus retrospective: a simple matter of timing?;https://open-research-europe.ec.europa.eu/articles/4-225;2024-10-18;1;Horizon 2020 Framework Programme
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;2024-10-18;3;Horizon 2020 Framework Programme
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;2024-10-18;3;Universidad de Salamanca Research Program
Enriching Earth observation datasets through semantics for climate change applications: The EIFFEL ontology;https://open-research-europe.ec.europa.eu/articles/4-133;2024-10-18;3;Agencia Estatal de Investigacion
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;2024-10-17;3;US National Institutes of Health
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;2024-10-17;3;Royal Society, Future Leaders African Independent Researchers (FLAIR) Scheme
The pregnancy-associated secretome in malaria pathogenesis and immunity during gestation;https://open-research-europe.ec.europa.eu/articles/4-224;2024-10-17;3;European and Developing Countries Clinical Trials Partnership
Digital marketplaces in European research landscape: A systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-223;2024-10-17;1;Horizon 2020 Framework Programme
Natural sea water and artificial sea water are not equivalent in plastic leachate contamination studies;https://open-research-europe.ec.europa.eu/articles/4-59;2024-10-17;1;Horizon 2020 Framework Programme
A child-centred intercultural approach to the socio-educational inclusion of migrant and refugee children;https://open-research-europe.ec.europa.eu/articles/3-220;2024-10-17;1;Horizon 2020 Framework Programme
Safefood4eu: An interdisciplinary approach on education for sustainable agri-food systems in Europe;https://open-research-europe.ec.europa.eu/articles/4-222;2024-10-17;1;Erasmus+
Network for forest by-products charcoal, resin, tar, potash (COST Action EU-PoTaRCh);https://open-research-europe.ec.europa.eu/articles/4-176;2024-10-17;1;European Cooperation in Science and Technology
Common errors in Generative AI systems used for knowledge extraction in the climate action domain;https://open-research-europe.ec.europa.eu/articles/4-221;2024-10-16;1;Horizon Europe Framework Programme
Exploring self-care and self-development practices among refugee adolescents through photos: An art-based participatory qualitative study;https://open-research-europe.ec.europa.eu/articles/4-219;2024-10-15;1;Horizon 2020 Framework Programme
Railway security checks at the border: between intrusive security technologies and fundamental traveller rights;https://open-research-europe.ec.europa.eu/articles/4-138;2024-10-15;1;Horizon Europe Framework Programme
Drying out fish ponds, for an entire growth season, as an agroecological practice: maintaining primary producers for fish production and biodiversity conservation;https://open-research-europe.ec.europa.eu/articles/3-125;2024-10-15;1;Horizon Europe Framework Programme
Ex-vivo evaluation of Plasmodium falciparum-induced cytokine expression in chronic hepatitis B virus-infected and uninfected individuals;https://open-research-europe.ec.europa.eu/articles/4-218;2024-10-15;1;European and Developing Countries Clinical Trials Partnership
Collaborative design approach to identify research and innovation needs within the European smart building community;https://open-research-europe.ec.europa.eu/articles/3-36;2024-10-15;1;Horizon 2020 Framework Programme
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;2024-10-15;3;Horizon 2020 Framework Programme
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;2024-10-15;3;Research Centre for Arctic Petroleum Exploration (ARCEx
Caledonian reactivation and reworking of Timanian thrust systems and implications for latest Mesoproterozoic to mid-Paleozoic tectonics and magmatism in northern Baltica;https://open-research-europe.ec.europa.eu/articles/4-30;2024-10-15;3;Research Council of Norway)
Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects;https://open-research-europe.ec.europa.eu/articles/1-17;2024-10-15;1;Horizon 2020 Framework Programme
How physical activity opportunities seized by adolescents differ between Europe and the Pacific Islands: the example of France and New Caledonia;https://open-research-europe.ec.europa.eu/articles/4-217;2024-10-15;1;Horizon 2020 Framework Programme
The “Archeology of the Light”:  A multiproxy, interdisciplinary and experimental approach to Paleolithic subterranean activities.;https://open-research-europe.ec.europa.eu/articles/4-216;2024-10-14;1;Horizon Europe Framework Programme
Vitality structures in ‘addictive’ game design;https://open-research-europe.ec.europa.eu/articles/4-47;2024-10-14;1;Horizon Europe Framework Programme
ELSMOR – towards European Licensing of Small Modular Reactors: Methodology recommendations for light-water small modular reactors safety assessment;https://open-research-europe.ec.europa.eu/articles/3-158/v2;2024-10-14;1;Horizon Europe Framework Programme
Profiling of linear B-cell epitopes against human coronaviruses in pooled sera sampled early in the COVID-19 pandemic;https://open-research-europe.ec.europa.eu/articles/4-215;2024-10-11;1;Horizon 2020 Framework Programme
Linking the ECRIN Metadata Repository with the BBMRI-ERIC Directory to connect clinical studies with related biobanks and collections;https://open-research-europe.ec.europa.eu/articles/4-50/v2;2024-10-07;1;HORIZON EUROPE Framework Programme
Comparative study on scenarios for rotating gantry mechanical structures;https://open-research-europe.ec.europa.eu/articles/2-55;2024-10-07;1;Latvian Council of Science
COVID-19 and (ir)responsible (im)mobility: Reading counter-practices through Levinas and Derrida;https://open-research-europe.ec.europa.eu/articles/4-2;2024-10-07;1;Horizon 2020 Framework Programme
Mapping secondary data gaps for social simulation modelling: A case study of the journeys of Syrian asylum seekers to Europe;https://open-research-europe.ec.europa.eu/articles/3-216;2024-10-07;1;Horizon 2020 Framework Programme
Impact and evaluation report of the DTA3/COFUND programme;https://open-research-europe.ec.europa.eu/articles/4-211;2024-10-07;1;Horizon 2020 Framework Programme
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;2024-10-02;2;Horizon 2020 Framework Programme
On the Billefjorden fault zone in Garmdalen, central Spitsbergen: implications for the mapping of major fault zones during geological fieldwork and for the tectonic history of Svalbard;https://open-research-europe.ec.europa.eu/articles/4-147;2024-10-02;2;Norges Forskningsråd
Algorithm for Key Transparency with Transparent Logs;https://open-research-europe.ec.europa.eu/articles/4-163;2024-10-02;1;European Cooperation in Science and Technology
Systematic review: locating qualitative academic publications for reviewing tenants’ and landlords’ renting experiences and interaction in the Majority World;https://open-research-europe.ec.europa.eu/articles/4-178;2024-10-02;1;Horizon Europe Framework Programme
Exposure assessment and risks associated with wearing silver nanoparticle-coated textiles;https://open-research-europe.ec.europa.eu/articles/4-100;2024-10-02;1;Horizon 2020 Framework Programme
Financial, Supplies, and Human Resource Preparedness in Management of Covid-19 Pandemic Among Dental Facilities in Nairobi County Kenya;https://open-research-europe.ec.europa.eu/articles/4-209;2024-09-26;1;European and Developing Countries Clinical Trials Partnership
Digital twins for managing bridge climate change adaptation;https://open-research-europe.ec.europa.eu/articles/4-173;2024-09-26;1;Horizon 2020 Framework Programme
Decision Support Systems adoption in pesticide management;https://open-research-europe.ec.europa.eu/articles/4-142;2024-09-26;2;Horizon 2020 Framework Programme
Decision Support Systems adoption in pesticide management;https://open-research-europe.ec.europa.eu/articles/4-142;2024-09-26;2;MCIN/ AEI Spain
Disinformation as an obstructionist strategy in climate change mitigation: a review of the scientific literature for a systemic understanding of the phenomenon;https://open-research-europe.ec.europa.eu/articles/4-169;2024-09-24;5;Horizon 2020 Framework Programme
Disinformation as an obstructionist strategy in climate change mitigation: a review of the scientific literature for a systemic understanding of the phenomenon;https://open-research-europe.ec.europa.eu/articles/4-169;2024-09-24;5;Comunidad de Madrid
Disinformation as an obstructionist strategy in climate change mitigation: a review of the scientific literature for a systemic understanding of the phenomenon;https://open-research-europe.ec.europa.eu/articles/4-169;2024-09-24;5;Universidad Rey Juan Carlos
Disinformation as an obstructionist strategy in climate change mitigation: a review of the scientific literature for a systemic understanding of the phenomenon;https://open-research-europe.ec.europa.eu/articles/4-169;2024-09-24;5;Ministerio de Ciencia e InnovaciÃ³n
Disinformation as an obstructionist strategy in climate change mitigation: a review of the scientific literature for a systemic understanding of the phenomenon;https://open-research-europe.ec.europa.eu/articles/4-169;2024-09-24;5;Ministerio de Ciencia, InnovaciÃ³n y Universidades
ENOVAT: the European Network for Optimization of Veterinary Antimicrobial Treatment;https://open-research-europe.ec.europa.eu/articles/4-170;2024-09-24;1;European Cooperation in Science and Technology
Sufficiency in European Climate Policies, four country NECPs analysed;https://open-research-europe.ec.europa.eu/articles/4-208;2024-09-24;1;Horizon 2020 Framework Programme
An in-depth analysis of data reduction methods for sustainable deep learning;https://open-research-europe.ec.europa.eu/articles/4-101;2024-09-18;1;Horizon Europe Framework Programme
Collaborative Policymaking: a qualitative systematic review of advice for policymakers;https://open-research-europe.ec.europa.eu/articles/4-204;2024-09-18;2;Horizon Europe Framework Programme
Collaborative Policymaking: a qualitative systematic review of advice for policymakers;https://open-research-europe.ec.europa.eu/articles/4-204;2024-09-18;2;Joint Research Centre
Floating photovoltaic systems: photovoltaic cable submersion testing and potential impacts;https://open-research-europe.ec.europa.eu/articles/3-61;2024-09-16;2;Horizon 2020 Framework Programme
Floating photovoltaic systems: photovoltaic cable submersion testing and potential impacts;https://open-research-europe.ec.europa.eu/articles/3-61;2024-09-16;2;Interreg Atlantic Programme
Harmonising humans and technology: Exploring the dynamics of cognitive production, artificial intelligence and social communication in cybernetic systems;https://open-research-europe.ec.europa.eu/articles/4-201;2024-09-09;1;Horizon 2020 Framework Programme
Low levels of hypertension screening in HIV care clinics in rural Uganda: A mixed methods study;https://open-research-europe.ec.europa.eu/articles/4-200;2024-09-09;1;European and Developing Countries Clinical Trials Partnership
Reception Centers and Practices for Women Migrants;https://open-research-europe.ec.europa.eu/articles/4-199;2024-09-09;1;European Cooperation in Science and Technology
Gender mainstreaming and gender-disaggregated data on migrant women: WEMov’s Open Letter;https://open-research-europe.ec.europa.eu/articles/4-197;2024-09-09;1;European Cooperation in Science and Technology
