题目;链接;Version编号;Version时间;Reviewer编号;状态
Impact of recyclability on the tensile and Impact properties of coated plastic materials for the automotive and electronic sectors;https://open-research-europe.ec.europa.eu/articles/4-51/v2;Version 1;2024-03-04;3;
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;Version 1;2025-03-31;1;Approved
APOLLO-Live: A multi-criteria-based webtool for synchronous group decision making and consensus reaching in energy and climate policy deliberations;https://open-research-europe.ec.europa.eu/articles/5-88;Version 1;2025-03-31;2;Approved with Reservations
Analysing stakeholder perceptions in organic farming using fuzzy cognitive maps;https://open-research-europe.ec.europa.eu/articles/5-86;Version 1;2025-03-31;1;Approved
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Version 2;2025-03-31;1;Approved
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Version 2;2025-03-31;2;Approved
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Version 2;2025-03-31;3;Approved
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Version 1;2024-11-08;1;Approved with Reservations
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Version 1;2024-11-08;2;Approved
Advanced photodetector for hybrid PET-MRI systems;https://open-research-europe.ec.europa.eu/articles/4-247;Version 1;2024-11-08;3;
Recovery and potential use for non-polyolefin materials after physical recycling of complex multilayers;https://open-research-europe.ec.europa.eu/articles/4-255;Version 1;2024-11-27;1;Approved with Reservations
Recovery and potential use for non-polyolefin materials after physical recycling of complex multilayers;https://open-research-europe.ec.europa.eu/articles/4-255;Version 1;2024-11-27;2;Approved with Reservations
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;Version 1;2024-11-27;1;Approved
Diamonds in the rough - reconsidering the scientific and heritage value of heat-altered stones in prehistoric archaeology through a systematic literature review;https://open-research-europe.ec.europa.eu/articles/4-254;Version 1;2024-11-27;2;Approved
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 2;2024-11-27;1;
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 2;2024-11-27;2;Approved
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 2;2024-11-27;3;
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 2;2024-11-27;4;Approved
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 2;2024-11-27;5;Approved with Reservations
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 2;2024-11-27;6;Approved
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 1;2023-07-20;1;Not Approved
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 1;2023-07-20;2;Not Approved
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 1;2023-07-20;3;Approved with Reservations
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 1;2023-07-20;4;Approved with Reservations
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 1;2023-07-20;5;
Prospects of digital scientific publishing on blockchain: The concept of DAP;https://open-research-europe.ec.europa.eu/articles/3-117;Version 1;2023-07-20;6;
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Version 2;2024-11-27;1;Approved
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Version 2;2024-11-27;2;
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Version 2;2024-11-27;3;
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Version 1;2024-08-05;1;Approved with Reservations
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Version 1;2024-08-05;2;Approved
Biaxial seismic response of base-column connections in sub-standard steel buildings: dataset;https://open-research-europe.ec.europa.eu/articles/4-161/v1;Version 1;2024-08-05;3;Approved
Numerical model of aluminothermic reduction vessel preheating and charge heating with graphite heating rods;https://open-research-europe.ec.europa.eu/articles/4-253;Version 1;2024-11-22;1;Approved
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Version 1;2024-11-22;1;Approved with Reservations
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Version 1;2024-11-22;2;Approved with Reservations
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Version 1;2024-11-22;3;Not Approved
Instrumentalized migration: avoiding the trap;https://open-research-europe.ec.europa.eu/articles/4-251;Version 1;2024-11-22;4;Approved with Reservations
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 3;2024-11-22;1;
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 3;2024-11-22;2;
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 3;2024-11-22;3;Approved with Reservations
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 3;2024-11-22;4;Approved with Reservations
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 2;2024-07-09;1;
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 2;2024-07-09;2;Approved
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 2;2024-07-09;3;
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 2;2024-07-09;4;
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 1;2023-08-24;1;Approved
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 1;2023-08-24;2;Approved with Reservations
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 1;2023-08-24;3;
Initial development and validation of item banks to measure problematic hypersexuality;https://open-research-europe.ec.europa.eu/articles/3-129;Version 1;2023-08-24;4;
Exploring high growth emerging market SMEs’ engagement with digitalization:  Analysis of the literature from Malaysia and Poland;https://open-research-europe.ec.europa.eu/articles/4-250;Version 1;2024-11-20;1;Approved with Reservations
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 2;2024-11-14;1;Approved
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 2;2024-11-14;2;
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 2;2024-11-14;3;Approved with Reservations
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 2;2024-11-14;4;Approved
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 2;2024-11-14;5;Approved
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 1;2023-09-08;1;Approved with Reservations
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 1;2023-09-08;2;Approved
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 1;2023-09-08;3;
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 1;2023-09-08;4;
Parametrizing analog multi-compartment neurons with genetic algorithms;https://open-research-europe.ec.europa.eu/articles/3-144;Version 1;2023-09-08;5;
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Version 2;2024-11-14;1;Approved
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Version 2;2024-11-14;2;Approved
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Version 2;2024-11-14;3;Approved
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Version 1;2024-07-09;1;Approved with Reservations
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Version 1;2024-07-09;2;Approved with Reservations
Optimization of the autolysis of rainbow trout viscera for amino acid release using response surface methodology;https://open-research-europe.ec.europa.eu/articles/4-141;Version 1;2024-07-09;3;Approved with Reservations
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 3;2024-11-14;1;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 3;2024-11-14;2;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 3;2024-11-14;3;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 3;2024-11-14;4;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 3;2024-11-14;5;Approved with Reservations
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 2;2024-10-28;1;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 2;2024-10-28;2;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 2;2024-10-28;3;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 2;2024-10-28;4;Approved
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 2;2024-10-28;5;
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 1;2024-08-05;1;Approved
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 1;2024-08-05;2;Approved
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 1;2024-08-05;3;Approved
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 1;2024-08-05;4;Approved with Reservations
Co-designing ab initio electronic structure methods on a RISC-V vector architecture;https://open-research-europe.ec.europa.eu/articles/4-165;Version 1;2024-08-05;5;
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164/v1;Version 2;2024-11-12;1;Approved
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164/v1;Version 2;2024-11-12;2;Approved
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164/v1;Version 2;2024-11-12;3;
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164/v1;Version 1;2024-08-05;1;Approved with Reservations
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164/v1;Version 1;2024-08-05;2;Approved with Reservations
Gestational Diabetes Mellitus: Unveiling Maternal Health Dynamics from Pregnancy Through Postpartum Perspectives;https://open-research-europe.ec.europa.eu/articles/4-164/v1;Version 1;2024-08-05;3;Approved
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 2;2024-11-11;1;
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 2;2024-11-11;2;
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 2;2024-11-11;3;Approved
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 2;2024-11-11;4;Approved with Reservations
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 1;2024-04-29;1;Approved with Reservations
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 1;2024-04-29;2;Approved with Reservations
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 1;2024-04-29;3;Not Approved
Development of flip-chip technology for the optical drive of superconducting circuits;https://open-research-europe.ec.europa.eu/articles/4-97;Version 1;2024-04-29;4;
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;Version 2;2024-11-08;1;Approved
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;Version 2;2024-11-08;2;Approved
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;Version 1;2024-06-24;1;Approved
Antibiotics in honey: a comprehensive review on occurrence and analytical methodologies.;https://open-research-europe.ec.europa.eu/articles/4-125;Version 1;2024-06-24;2;Approved with Reservations
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;Version 1;2024-11-08;1;Approved with Reservations
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;Version 1;2024-11-08;2;Approved with Reservations
Numerical model of a top-blown rotary converter preheating and charge heating with an oxy-fuel burner;https://open-research-europe.ec.europa.eu/articles/4-248;Version 1;2024-11-08;3;Not Approved
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;Version 1;2024-11-07;1;Approved
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;Version 1;2024-11-07;2;Approved with Reservations
SentemQC - A novel and cost-efficient method for quality assurance and quality control of high-resolution frequency sensor data in fresh waters;https://open-research-europe.ec.europa.eu/articles/4-244;Version 1;2024-11-07;3;Approved with Reservations
Towards ‘retroliberalism’ or food security?: Donor development aid to the agricultural sectors of four Melanesian states, 2008-2021;https://open-research-europe.ec.europa.eu/articles/4-243;Version 1;2024-11-07;1;Approved with Reservations
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179/v1;Version 2;2024-11-06;1;Approved
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179/v1;Version 2;2024-11-06;2;
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179/v1;Version 2;2024-11-06;3;Approved
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179/v1;Version 1;2024-08-13;1;Approved with Reservations
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179/v1;Version 1;2024-08-13;2;Approved with Reservations
Challenges to ethical public engagement in research funding: a perspective from practice;https://open-research-europe.ec.europa.eu/articles/4-179/v1;Version 1;2024-08-13;3;Approved with Reservations
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;Version 1;2024-11-06;1;Approved
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;Version 1;2024-11-06;2;Approved
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;Version 1;2024-11-06;3;Approved with Reservations
A 2024 inventory of test methods relevant to thyroid hormone system disruption for human health and environmental regulatory hazard assessment;https://open-research-europe.ec.europa.eu/articles/4-242;Version 1;2024-11-06;4;Approved with Reservations
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;Version 2;2024-11-04;1;Approved
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;Version 2;2024-11-04;2;Approved
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;Version 1;2024-09-23;1;Approved
Environmental impacts of drugs against parasitic vector-borne diseases and the need to integrate sustainability into their development and use;https://open-research-europe.ec.europa.eu/articles/4-207;Version 1;2024-09-23;2;Approved with Reservations
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Version 2;2024-10-30;1;
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Version 2;2024-10-30;2;Approved
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Version 2;2024-10-30;3;
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Version 1;2024-07-24;1;Approved with Reservations
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Version 1;2024-07-24;2;Approved with Reservations
A literature review of “lawful” text and data mining.;https://open-research-europe.ec.europa.eu/articles/4-153;Version 1;2024-07-24;3;Approved with Reservations
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Version 1;2024-10-30;1;Approved with Reservations
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Version 1;2024-10-30;2;Not Approved
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Version 1;2024-10-30;3;Approved with Reservations
Methodological Approach for the Development of Standard C-UAS Scenarios;https://open-research-europe.ec.europa.eu/articles/4-240;Version 1;2024-10-30;4;Not Approved
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 3;2024-10-29;1;Approved
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 3;2024-10-29;2;Approved
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 3;2024-10-29;3;Approved
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 3;2024-10-29;4;Approved
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 2;2023-10-20;1;
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 2;2023-10-20;2;Approved with Reservations
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 2;2023-10-20;3;Approved with Reservations
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 2;2023-10-20;4;Approved with Reservations
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 1;2023-02-20;1;Approved with Reservations
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 1;2023-02-20;2;Approved with Reservations
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 1;2023-02-20;3;
Investigating immersion and migration decisions for agent-based modelling: A cautionary tale;https://open-research-europe.ec.europa.eu/articles/3-34;Version 1;2023-02-20;4;
From operational design domain to test cases: A methodology to include harsh weather;https://open-research-europe.ec.europa.eu/articles/4-238;Version 1;2024-10-29;1;Approved with Reservations
From operational design domain to test cases: A methodology to include harsh weather;https://open-research-europe.ec.europa.eu/articles/4-238;Version 1;2024-10-29;2;Not Approved
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;1;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;2;
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;3;Approved with Reservations
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;4;Approved with Reservations
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;5;Approved with Reservations
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;6;Approved
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;7;Approved with Reservations
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;8;Approved
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 2;2024-10-28;9;Approved with Reservations
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;1;Not Approved
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;2;Approved with Reservations
Energy Transition in Northern Netherlands: seeking a balance between top-down and bottom-up initiatives;https://open-research-europe.ec.europa.eu/articles/4-139;Version 1;2024-07-09;3;
